month,PP价格__mean,PP价格__min,PP价格__max,PP价格__last,PP价格__range,PP产量__mean,PP产量__min,PP产量__max,PP产量__last,PP产量__range,塑编开工率__mean,塑编开工率__min,塑编开工率__max,塑编开工率__last,塑编开工率__range,排产比例__mean,排产比例__min,排产比例__max,排产比例__last,排产比例__range,PP进口量__mean,PP进口量__min,PP进口量__max,PP进口量__last,PP进口量__range,PP开工率__mean,PP开工率__min,PP开工率__max,PP开工率__last,PP开工率__range,BOPP开工率__mean,BOPP开工率__min,BOPP开工率__max,BOPP开工率__last,BOPP开工率__range,PDH成本__mean,PDH成本__min,PDH成本__max,PDH成本__last,PDH成本__range,乙烯成本__mean,乙烯成本__min,乙烯成本__max,乙烯成本__last,乙烯成本__range,MTO成本__mean,MTO成本__min,MTO成本__max,MTO成本__last,MTO成本__range,CTO成本__mean,CTO成本__min,CTO成本__max,CTO成本__last,CTO成本__range,丙烯成本__mean,丙烯成本__min,丙烯成本__max,丙烯成本__last,丙烯成本__range,期货价格__mean,期货价格__min,期货价格__max,期货价格__last,期货价格__range,检修损失__mean,检修损失__min,检修损失__max,检修损失__last,检修损失__range,PP石化库存__mean,PP石化库存__min,PP石化库存__max,PP石化库存__last,PP石化库存__range,GDP__mean,GDP__min,GDP__max,GDP__last,GDP__range,y,y_prev,y_direction,y_return,y_strength,cal_year,cal_month,cfg_strong_threshold,cfg_flat_threshold
2015-01,9502.173913043478,8750.0,10300.0,9400.0,1550.0,1243.0,1243.0,1243.0,1243.0,0.0,70.5,70.0,71.0,70.0,1.0,37.22521739130435,29.63,47.26,46.63,17.63,292.91,292.91,292.91,292.91,0.0,57.5,56.0,59.0,56.0,3.0,63.28,63.28,63.28,63.28,0.0,,,,,,6051.84,6051.84,6051.84,6051.84,0.0,,,,,,,,,,,7644.945652173913,6885.25,8501.25,7390.25,1616.0,,,,,,,,,,,88.1,68.5,101.0,78.5,32.5,,,,,,8438.095238095239,9502.173913043478,0,-0.11198265625170217,big_down,2015,1,0.05,0.005
2015-02,8438.095238095239,7850.0,9450.0,8000.0,1600.0,1320.0,1320.0,1320.0,1320.0,0.0,66.8,65.0,69.0,65.0,4.0,36.03142857142857,30.76,44.24,35.95,13.48,319.97,319.97,319.97,319.97,0.0,54.6,52.0,56.0,52.0,4.0,63.8,63.8,63.8,63.8,0.0,,,,,,5533.5666666666675,5294.38,5991.68,5757.46,697.3000000000002,,,,,,4783.535714285715,4713.25,4810.75,4713.25,97.5,7305.6625,7087.25,7718.5,7718.5,631.25,,,,,,,,,,,81.53125,72.5,94.0,72.5,21.5,,,,,,8304.411764705883,8438.095238095239,0,-0.015842849555171942,small_down,2015,2,0.05,0.005
2015-03,8304.411764705883,8000.0,8550.0,8500.0,550.0,1262.0,1262.0,1262.0,1262.0,0.0,45.0,35.0,60.0,35.0,25.0,38.52823529411765,33.17,45.27,43.17,12.100000000000001,227.77,227.77,227.77,227.77,0.0,31.25,23.0,50.0,23.0,27.0,58.64,58.64,58.64,58.64,0.0,,,,,,6162.262352941177,5836.77,6444.13,6444.13,607.3599999999997,,,,,,4706.191176470588,4690.75,4713.25,4690.75,22.5,7853.166666666667,7415.5,8122.5,8122.5,707.0,,,,,,,,,,,71.4375,56.0,96.0,95.5,40.0,,,,,,8527.272727272728,8304.411764705883,1,0.02683645378881789,small_up,2015,3,0.05,0.005
2015-04,8527.272727272728,8100.0,8850.0,8800.0,750.0,1302.0,1302.0,1302.0,1302.0,0.0,54.25,50.0,56.0,56.0,6.0,35.26909090909091,32.49,43.79,33.45,11.299999999999997,392.45,392.45,392.45,392.45,0.0,41.75,28.0,51.0,51.0,23.0,62.17,62.17,62.17,62.17,0.0,,,,,,6046.469090909091,5805.53,6338.65,5911.02,533.1199999999999,,,,,,4647.113636363636,4600.75,4690.75,4600.75,90.0,8278.59090909091,8223.5,8425.5,8223.5,202.0,,,,,,,,,,,95.82142857142857,84.0,105.0,88.0,21.0,,,,,,9216.666666666666,8527.272727272728,1,0.08084577114427845,big_up,2015,4,0.05,0.005
2015-05,9216.666666666666,8800.0,9750.0,9700.0,950.0,1279.0,1279.0,1279.0,1279.0,0.0,59.5,57.0,62.0,62.0,5.0,33.0,28.03,37.73,36.89,9.699999999999996,286.82,286.82,286.82,286.82,0.0,52.75,52.0,54.0,54.0,2.0,61.43,61.43,61.43,61.43,0.0,,,,,,6314.584761904762,5894.66,6716.86,6716.86,822.1999999999998,,,,,,4560.964285714285,4528.75,4600.75,4543.75,72.0,8459.166666666666,8324.5,8526.5,8324.5,202.0,,,,,,,,,,,87.8076923076923,78.5,93.5,78.5,15.0,,,,,,9290.0,9216.666666666666,1,0.00795660036166372,small_up,2015,5,0.05,0.005
2015-06,9290.0,8850.0,9750.0,9000.0,900.0,1332.0,1332.0,1332.0,1332.0,0.0,62.6,62.0,63.0,63.0,1.0,34.0625,31.16,38.22,36.47,7.059999999999999,250.31,250.31,250.31,250.31,0.0,54.4,54.0,55.0,54.0,1.0,59.3,59.3,59.3,59.3,0.0,,,,,,6629.1425,6386.17,6785.61,6632.98,399.4399999999996,,,,,,4537.75,4536.25,4543.75,4536.25,7.5,8498.725,8324.5,8627.5,8324.5,303.0,,,,,,,,,,,83.75,74.0,91.5,74.0,17.5,,,,,,8878.57142857143,9290.0,0,-0.04428725203752106,small_down,2015,6,0.05,0.005
2015-07,8878.57142857143,8700.0,9150.0,8750.0,450.0,1473.0,1473.0,1473.0,1473.0,0.0,61.75,61.0,62.0,61.0,1.0,35.05380952380953,27.67,42.44,33.76,14.769999999999996,258.2,258.2,258.2,258.2,0.0,52.25,51.0,53.0,51.0,2.0,58.8,58.8,58.8,58.8,0.0,,,,,,6500.4228571428575,6380.36,6641.01,6489.3,260.65000000000055,,,,,,4469.821428571428,4443.25,4536.25,4443.25,93.0,8223.5,8122.5,8324.5,8173.0,202.0,,,,,,,,,,,76.08333333333333,68.0,82.0,76.5,14.0,,,,,,8306.521739130434,8878.57142857143,0,-0.06443037531917886,big_down,2015,7,0.05,0.005
2015-08,8306.521739130434,7900.0,8800.0,8000.0,900.0,1386.0,1386.0,1386.0,1386.0,0.0,62.4,62.0,63.0,63.0,1.0,32.52391304347826,28.31,41.67,37.43,13.360000000000003,269.67,269.67,269.67,269.67,0.0,50.6,50.0,51.0,51.0,1.0,57.02,57.02,57.02,57.02,0.0,,,,,,6010.290434782609,5689.44,6384.82,5689.44,695.3800000000001,,,,,,4437.967391304348,4435.75,4438.75,4435.75,3.0,7793.152173913043,7617.5,8173.0,7617.5,555.5,,,,,,,,,,,77.16666666666667,73.0,82.5,73.5,9.5,,,,,,8166.666666666667,8306.521739130434,0,-0.01683677920265189,small_down,2015,8,0.05,0.005
2015-09,8166.666666666667,7750.0,8450.0,8150.0,700.0,1449.0,1449.0,1449.0,1449.0,0.0,63.75,63.0,64.0,64.0,1.0,34.75333333333333,26.55,44.97,40.97,18.419999999999998,278.71,278.71,278.71,278.71,0.0,52.75,52.0,54.0,54.0,2.0,56.29,56.29,56.29,56.29,0.0,,,,,,5518.9628571428575,5162.77,6008.71,6008.71,845.9399999999996,,,,,,4432.321428571428,4431.25,4435.75,4431.25,4.5,7550.166666666667,7112.5,7617.5,7112.5,505.0,,,,,,,,,,,77.1076923076923,69.5,83.0,76.5,13.5,,,,,,7921.428571428572,8166.666666666667,0,-0.030029154518950458,small_down,2015,9,0.05,0.005
2015-10,7921.428571428572,7450.0,8300.0,7500.0,850.0,1545.0,1545.0,1545.0,1545.0,0.0,65.25,64.0,67.0,67.0,3.0,35.71190476190476,29.13,42.14,40.73,13.010000000000002,297.8,297.8,297.8,297.8,0.0,55.0,54.0,56.0,56.0,2.0,56.85,56.85,56.85,56.85,0.0,,,,,,5582.387619047619,5424.87,5722.59,5565.99,297.72000000000025,,,,,,4423.321428571428,4416.25,4428.25,4416.25,12.0,6304.5,4890.5,7112.5,4890.5,2222.0,,,,,,,,,,,81.29230769230769,73.0,88.0,76.5,15.0,,,,,,7323.611111111111,7921.428571428572,0,-0.07546838994088767,big_down,2015,10,0.05,0.005
