factor,adf_p_level,adf_p_diff,nobs_level,nobs_diff
PP价格,0.08039157179506606,1.2935637124095484e-09,80.0,79.0
期货价格,0.5167475930307264,0.02260738802563751,22.0,21.0
丙烯成本,0.2039815691458849,1.7931163718187717e-13,127.0,126.0
PDH成本,0.25520482036463227,0.003606702430170713,30.0,29.0
乙烯成本,0.21919975228898464,7.292773901527702e-08,80.0,79.0
MTO成本,0.11180525076745673,1.606044789539222e-07,67.0,66.0
CTO成本,0.9878915764730847,0.011971872703254517,79.0,78.0
PP产量,0.8916959742492319,2.8378128475986016e-19,90.0,89.0
PP进口量,3.0129782863670194e-05,8.639857990273681e-08,137.0,136.0
检修损失,0.0019695816670029275,0.0002435598791766067,42.0,41.0
排产比例,6.256640621061034e-05,1.1141080795077802e-06,91.0,90.0
PP石化库存,1.2597796988244138e-06,0.003743560986040092,127.0,126.0
塑编开工率,0.009949558575594755,3.6678837011810805e-16,127.0,126.0
PP开工率,0.06017426144219232,0.021191446088362122,91.0,90.0
BOPP开工率,0.42452882031566663,0.02498860501434508,138.0,137.0
GDP,0.9465594114440037,7.684807394056357e-11,56.0,55.0
