,PP价格,期货价格,丙烯成本,PDH成本,乙烯成本,MTO成本,CTO成本,PP产量,PP进口量,检修损失,排产比例,PP石化库存,塑编开工率,PP开工率,BOPP开工率,GDP
PP价格,80,22,80,30,80,67,79,79,78,42,80,80,80,80,79,56
期货价格,22,22,22,22,22,22,22,21,20,21,22,22,22,22,21,22
丙烯成本,80,22,127,30,80,67,79,90,125,42,91,127,127,91,126,56
PDH成本,30,22,30,30,30,30,30,29,28,29,30,30,30,30,29,30
乙烯成本,80,22,80,30,80,67,79,79,78,42,80,80,80,80,79,56
MTO成本,67,22,67,30,67,67,67,66,65,42,67,67,67,67,66,56
CTO成本,79,22,79,30,79,67,79,78,77,42,79,79,79,79,78,56
PP产量,79,21,90,29,79,66,78,90,89,42,90,90,90,90,90,55
PP进口量,78,20,125,28,78,65,77,89,137,41,89,125,125,89,137,54
检修损失,42,21,42,29,42,42,42,42,41,42,42,42,42,42,42,42
排产比例,80,22,91,30,80,67,79,90,89,42,91,91,91,91,90,56
PP石化库存,80,22,127,30,80,67,79,90,125,42,91,127,127,91,126,56
塑编开工率,80,22,127,30,80,67,79,90,125,42,91,127,127,91,126,56
PP开工率,80,22,91,30,80,67,79,90,89,42,91,91,91,91,90,56
BOPP开工率,79,21,126,29,79,66,78,90,137,42,90,126,126,90,138,55
GDP,56,22,56,30,56,56,56,55,54,42,56,56,56,56,55,56
