a,b,spearman,overlap_months
PP价格,丙烯成本,0.8854130650237895,80
PP产量,GDP,-0.8020030855770605,55
PP价格,MTO成本,0.7917232021709634,67
丙烯成本,乙烯成本,0.7543879183669061,80
丙烯成本,MTO成本,0.7377158763624037,67
MTO成本,GDP,0.7371657926602024,56
PP价格,乙烯成本,0.7285982184716362,80
乙烯成本,MTO成本,0.7071593902147019,67
丙烯成本,BOPP开工率,0.6629290163524857,126
CTO成本,PP产量,0.6495570856936684,78
丙烯成本,CTO成本,0.6388222836207841,79
PP产量,塑编开工率,-0.6286362290989481,90
PP价格,GDP,0.5759893385620832,56
塑编开工率,GDP,0.5590804816736702,56
PP价格,CTO成本,0.5454512259791,79
乙烯成本,CTO成本,0.528934572396433,79
PP开工率,GDP,-0.4992085331259695,56
MTO成本,CTO成本,0.48314393752841095,67
检修损失,排产比例,-0.4745035016153299,42
丙烯成本,GDP,0.4586685227540934,56
MTO成本,PP开工率,-0.42705581469267806,67
乙烯成本,GDP,0.41648889611836376,56
塑编开工率,PP开工率,0.3898843503797217,91
PP产量,PP石化库存,-0.3670494299707783,90
CTO成本,塑编开工率,-0.3655483529631147,79
PP产量,检修损失,-0.3640859774055094,42
乙烯成本,PP开工率,-0.3403793982048784,80
CTO成本,检修损失,-0.3372654273433712,42
PP石化库存,BOPP开工率,-0.33721245913463066,126
CTO成本,排产比例,-0.33605365174461,79
PP进口量,BOPP开工率,0.3275806345522442,137
PP开工率,BOPP开工率,0.3271404734693832,90
PP进口量,GDP,-0.31476425495334964,54
PP产量,BOPP开工率,-0.29776795473197737,90
PP价格,PP开工率,-0.2855702607885657,80
PP进口量,PP石化库存,-0.28207109381153683,125
PP产量,排产比例,-0.27665143844919127,90
检修损失,PP石化库存,0.2741791974138127,42
排产比例,PP开工率,-0.27226641042603167,91
乙烯成本,BOPP开工率,-0.26648084164210484,79
PP进口量,PP开工率,0.26515348721799015,89
乙烯成本,塑编开工率,-0.26054784418524596,80
丙烯成本,PP进口量,0.25883375806677883,125
PP产量,PP进口量,0.25194182815102273,89
塑编开工率,BOPP开工率,0.2412330700507418,126
乙烯成本,PP产量,0.24111489776046738,79
丙烯成本,PP石化库存,-0.21392603442054436,127
MTO成本,塑编开工率,0.1859030901381265,67
检修损失,BOPP开工率,-0.183354968852173,42
检修损失,塑编开工率,0.17878339311229038,42
检修损失,GDP,0.1637311112752431,42
CTO成本,BOPP开工率,0.15833170000776672,78
CTO成本,PP进口量,0.15547814656588893,77
MTO成本,PP产量,-0.15470201440350695,66
CTO成本,GDP,-0.14330144523228172,56
CTO成本,PP石化库存,-0.14278324478870044,79
丙烯成本,排产比例,-0.12971066137489887,91
MTO成本,PP进口量,-0.12467356505950823,65
PP价格,PP进口量,0.1184139810465193,78
丙烯成本,塑编开工率,0.11774926861026483,127
BOPP开工率,GDP,-0.11648023948662313,55
PP进口量,排产比例,-0.11548397805679185,89
排产比例,BOPP开工率,-0.10863471922698989,90
丙烯成本,PP产量,-0.10602175586275689,90
PP价格,塑编开工率,-0.10582373611125419,80
PP价格,PP产量,0.10250730282375851,79
MTO成本,PP石化库存,-0.09837177747625508,67
排产比例,GDP,0.08952695587252554,56
PP价格,检修损失,-0.08942035918019971,42
PP价格,PP石化库存,-0.07953586497890296,80
排产比例,PP石化库存,-0.0766523331740723,91
丙烯成本,PP开工率,-0.07192181941984681,91
排产比例,塑编开工率,-0.06893200940263022,91
乙烯成本,PP进口量,-0.0636962006120587,78
PP价格,BOPP开工率,-0.0629534057905708,79
MTO成本,检修损失,-0.060154040355129806,42
PP产量,PP开工率,-0.05949210354924498,90
CTO成本,PP开工率,-0.05466576795388877,79
MTO成本,排产比例,0.050842046452230824,67
PP进口量,塑编开工率,0.04908156599111448,125
检修损失,PP开工率,0.03737218587141949,42
PP石化库存,GDP,0.03701192403466345,56
PP进口量,检修损失,0.036388203073947564,41
PP石化库存,PP开工率,-0.030481030678107392,91
PP价格,排产比例,-0.02344116268166901,80
MTO成本,BOPP开工率,-0.021335448842480724,66
乙烯成本,PP石化库存,-0.015260196905766526,80
丙烯成本,检修损失,-0.014916904885908201,42
乙烯成本,检修损失,0.01410620353341319,42
PP石化库存,塑编开工率,0.011975013091243316,127
乙烯成本,排产比例,-0.00827473042662916,80
