,PP价格,期货价格,丙烯成本,PDH成本,乙烯成本,MTO成本,CTO成本,PP产量,PP进口量,检修损失,排产比例,PP石化库存,塑编开工率,PP开工率,BOPP开工率,GDP
PP价格,1.0,0.9717673630717109,0.8854130650237895,0.4629588431590656,0.7285982184716362,0.7917232021709634,0.5454512259791,0.10250730282375851,0.1184139810465193,-0.08942035918019971,-0.02344116268166901,-0.07953586497890296,-0.10582373611125419,-0.2855702607885657,-0.0629534057905708,0.5759893385620832
期货价格,0.9717673630717109,1.0,0.9299830604178431,0.639751552795031,0.5369847543760587,0.665725578769057,0.8159232072275551,0.712987012987013,-0.26917293233082706,-0.4943163625437568,0.47261434217955955,-0.20271033314511575,-0.13800924845482826,0.011309030242269326,0.5324675324675324,-0.6553999423679534
丙烯成本,0.8854130650237895,0.9299830604178431,1.0,0.41979977753058956,0.7543879183669061,0.7377158763624037,0.6388222836207841,-0.10602175586275689,0.25883375806677883,-0.014916904885908201,-0.12971066137489887,-0.21392603442054436,0.11774926861026483,-0.07192181941984681,0.6629290163524857,0.4586685227540934
PDH成本,0.4629588431590656,0.639751552795031,0.41979977753058956,1.0,0.7005561735261402,0.7174638487208009,0.5862068965517241,0.32364532019704434,-0.3820470717022441,-0.6132052415709518,0.6605116796440489,-0.2925472747497219,-0.36167181431686624,-0.3207925915770127,0.11428571428571428,-0.3626427419890302
乙烯成本,0.7285982184716362,0.5369847543760587,0.7543879183669061,0.7005561735261402,1.0,0.7071593902147019,0.528934572396433,0.24111489776046738,-0.0636962006120587,0.01410620353341319,-0.00827473042662916,-0.015260196905766526,-0.26054784418524596,-0.3403793982048784,-0.26648084164210484,0.41648889611836376
MTO成本,0.7917232021709634,0.665725578769057,0.7377158763624037,0.7174638487208009,0.7071593902147019,1.0,0.48314393752841095,-0.15470201440350695,-0.12467356505950823,-0.060154040355129806,0.050842046452230824,-0.09837177747625508,0.1859030901381265,-0.42705581469267806,-0.021335448842480724,0.7371657926602024
CTO成本,0.5454512259791,0.8159232072275551,0.6388222836207841,0.5862068965517241,0.528934572396433,0.48314393752841095,1.0,0.6495570856936684,0.15547814656588893,-0.3372654273433712,-0.33605365174461,-0.14278324478870044,-0.3655483529631147,-0.05466576795388877,0.15833170000776672,-0.14330144523228172
PP产量,0.10250730282375851,0.712987012987013,-0.10602175586275689,0.32364532019704434,0.24111489776046738,-0.15470201440350695,0.6495570856936684,1.0,0.25194182815102273,-0.3640859774055094,-0.27665143844919127,-0.3670494299707783,-0.6286362290989481,-0.05949210354924498,-0.29776795473197737,-0.8020030855770605
PP进口量,0.1184139810465193,-0.26917293233082706,0.25883375806677883,-0.3820470717022441,-0.0636962006120587,-0.12467356505950823,0.15547814656588893,0.25194182815102273,1.0,0.036388203073947564,-0.11548397805679185,-0.28207109381153683,0.04908156599111448,0.26515348721799015,0.3275806345522442,-0.31476425495334964
检修损失,-0.08942035918019971,-0.4943163625437568,-0.014916904885908201,-0.6132052415709518,0.01410620353341319,-0.060154040355129806,-0.3372654273433712,-0.3640859774055094,0.036388203073947564,1.0,-0.4745035016153299,0.2741791974138127,0.17878339311229038,0.03737218587141949,-0.183354968852173,0.1637311112752431
排产比例,-0.02344116268166901,0.47261434217955955,-0.12971066137489887,0.6605116796440489,-0.00827473042662916,0.050842046452230824,-0.33605365174461,-0.27665143844919127,-0.11548397805679185,-0.4745035016153299,1.0,-0.0766523331740723,-0.06893200940263022,-0.27226641042603167,-0.10863471922698989,0.08952695587252554
PP石化库存,-0.07953586497890296,-0.20271033314511575,-0.21392603442054436,-0.2925472747497219,-0.015260196905766526,-0.09837177747625508,-0.14278324478870044,-0.3670494299707783,-0.28207109381153683,0.2741791974138127,-0.0766523331740723,1.0,0.011975013091243316,-0.030481030678107392,-0.33721245913463066,0.03701192403466345
塑编开工率,-0.10582373611125419,-0.13800924845482826,0.11774926861026483,-0.36167181431686624,-0.26054784418524596,0.1859030901381265,-0.3655483529631147,-0.6286362290989481,0.04908156599111448,0.17878339311229038,-0.06893200940263022,0.011975013091243316,1.0,0.3898843503797217,0.2412330700507418,0.5590804816736702
PP开工率,-0.2855702607885657,0.011309030242269326,-0.07192181941984681,-0.3207925915770127,-0.3403793982048784,-0.42705581469267806,-0.05466576795388877,-0.05949210354924498,0.26515348721799015,0.03737218587141949,-0.27226641042603167,-0.030481030678107392,0.3898843503797217,1.0,0.3271404734693832,-0.4992085331259695
BOPP开工率,-0.0629534057905708,0.5324675324675324,0.6629290163524857,0.11428571428571428,-0.26648084164210484,-0.021335448842480724,0.15833170000776672,-0.29776795473197737,0.3275806345522442,-0.183354968852173,-0.10863471922698989,-0.33721245913463066,0.2412330700507418,0.3271404734693832,1.0,-0.11648023948662313
GDP,0.5759893385620832,-0.6553999423679534,0.4586685227540934,-0.3626427419890302,0.41648889611836376,0.7371657926602024,-0.14330144523228172,-0.8020030855770605,-0.31476425495334964,0.1637311112752431,0.08952695587252554,0.03701192403466345,0.5590804816736702,-0.4992085331259695,-0.11648023948662313,1.0
