month,丙烯成本,PP石化库存,塑编开工率,PP开工率,PP进口量,PP产量
2010-01,,,,,,
2010-02,,,,,,
2010-03,,,,,,
2010-04,,,,,,
2010-05,,,,,,
2010-06,,,,,,
2010-07,,,,,,
2010-08,,,,,,
2010-09,,,,,,
2010-10,,,,,,
2010-11,,,,,,
2010-12,,,,,,
2011-01,,,,,,
2011-02,,,,,,
2011-03,,,,,,
2011-04,,,,,,
2011-05,,,,,,
2011-06,,,,,,
2011-07,,,,,,
2011-08,,,,,,
2011-09,,,,,,
2011-10,,,,,,
2011-11,,,,,,
2011-12,,,,,,
2012-01,,,,,,
2012-02,,,,,,
2012-03,,,,,,
2012-04,,,,,,
2012-05,,,,,,
2012-06,,,,,,
2012-07,,,,,,
2012-08,,,,,,
2012-09,,,,,,
2012-10,,,,,,
2012-11,,,,,,
2012-12,,,,,,
2013-01,,,,,,
2013-02,,,,,,
2013-03,,,,,,
2013-04,,,,,,
2013-05,,,,,,
2013-06,,,,,,
2013-07,,,,,,
2013-08,,,,,,
2013-09,,,,,,
2013-10,,,,,,
2013-11,,,,,,
2013-12,,,,,,
2014-01,,,,,,
2014-02,,,,,,
2014-03,,,,,,
2014-04,,,,,,
2014-05,,,,,,
2014-06,,,,,,
2014-07,,,,,,
2014-08,,,,,,
2014-09,,,,,,
2014-10,,,,,,
2014-11,,,,,,
2014-12,,,,,,
2015-01,,,,,,
2015-02,,,,,,
2015-03,,,,,,
2015-04,,,,,,
2015-05,,,,,,
2015-06,,,,,,
2015-07,,,,,,
2015-08,,,,,,
2015-09,,,,,,
2015-10,,,,,,
2015-11,,,,,,
2015-12,,,,,,
2016-01,,,,,,
2016-02,,,,,,
2016-03,,,,,,
2016-04,,,,,,
2016-05,0.9236326109391124,0.4840041279669762,-0.36344868033940375,-0.33350546519780516,0.1826625386996904,-0.8328173374613003
2016-06,0.9315789473684211,0.46140350877192987,-0.35469723942544207,-0.34576571999082534,0.2263157894736842,-0.8280701754385964
2016-07,0.9338345864661652,0.42255639097744363,-0.3446201126064227,-0.32418204624272057,0.21804511278195485,-0.8300751879699247
2016-08,0.9272727272727272,0.3922077922077922,-0.35867453965461515,-0.285807095294682,0.18181818181818182,-0.8116883116883117
2016-09,0.9254658385093169,0.3675889328063242,-0.35310740098749227,-0.2835357356780886,0.18351214003387917,-0.8147939017504237
2016-10,0.9258893280632412,0.3300395256916996,-0.3618388973955859,-0.25006178178767247,0.18280632411067196,-0.8290513833992096
2016-11,0.9252173913043478,0.23913043478260865,-0.3618965109644971,-0.16046967111244803,0.1591304347826087,-0.6782608695652173
2016-12,0.8984562073667142,0.03652173913043478,-0.5132666862236859,-0.17221135436457835,0.2504347826086956,-0.4904347826086956
2017-01,0.9010654703116321,-0.09478260869565217,-0.5132666862236859,-0.10002174622185106,0.2982608695652174,-0.33826086956521734
2017-02,0.8993259616816869,-0.17217391304347823,-0.5132666862236859,-0.09219395738709749,0.2678260869565217,-0.20173913043478262
2017-03,0.8562731230905423,-0.13739130434782607,-0.4976077025761836,-0.06001304773311064,0.31652173913043474,-0.14608695652173911
2017-04,0.8462709484683572,-0.24260869565217388,-0.43149199384228504,0.033920418283932094,0.21130434782608692,-0.03826086956521739
2017-05,0.8436616855234393,-0.37130434782608696,-0.3958243088674187,0.11872146399376235,0.18086956521739128,0.09478260869565217
2017-06,0.8440965626809256,-0.43652173913043474,-0.3980857928400997,0.1256794985135433,0.21130434782608692,0.1652173913043478
2017-07,0.8393129139485762,-0.4208695652173913,-0.40243645724272376,0.1622091797423932,0.19478260869565217,0.20173913043478262
2017-08,0.8475755799408161,-0.4721739130434783,-0.39599666868785266,0.13785605892315994,0.09565217391304347,0.33999999999999997
2017-09,0.8497499657282478,-0.5043478260869565,-0.43298536851034447,0.052185258898357074,0.09478260869565217,0.42956521739130427
2017-10,0.843226808365953,-0.5408695652173913,-0.4599653613220443,-0.02957164670906901,0.1826086956521739,0.49304347826086947
2017-11,0.8323548794287953,-0.5295652173913042,-0.4435258338509385,-0.10221836547675099,0.21826086956521737,0.548695652173913
2017-12,0.8119156530269389,-0.5652173913043478,-0.4085372053465432,-0.1561548647070366,0.34695652173913033,0.5956521739130434
2018-01,0.8093063900820209,-0.6382608695652173,-0.3376914332375343,-0.2066565591246419,0.48260869565217385,0.6852173913043478
2018-02,0.7984344611448632,-0.7956521739130433,-0.26835163739818985,-0.2601697312769176,0.4869565217391304,0.7147826086956521
2018-03,0.7527723596088007,-0.7721739130434783,-0.3981710983473142,-0.4163585833311207,0.37913043478260866,0.7139130434782608
2018-04,0.7036312408128479,-0.6913043478260869,-0.3272338920792107,-0.42897551009873036,0.4313043478260869,0.6991304347826087
2018-05,0.6771037342061831,-0.5626086956521739,-0.2185877189549794,-0.38876828978117617,0.29913043478260865,0.6886956521739129
2018-06,0.6584040164342717,-0.48260869565217385,-0.10353985873854114,-0.32135896237651423,0.29913043478260865,0.6730434782608695
2018-07,0.6566645078043264,-0.43652173913043474,-0.028459542447523082,-0.2958612686042397,0.27999999999999997,0.6139130434782608
2018-08,0.6688410682139431,-0.3956521739130434,-0.0847649743906855,-0.28322507303793204,0.2643478260869565,0.6382608695652173
2018-09,0.6714503311588609,-0.3539130434782608,-0.215206411665471,-0.22314293786310954,0.23130434782608694,0.5947826086956521
2018-10,0.6904347826086955,-0.33304347826086955,-0.2779665644031539,-0.1573332042355128,0.23043478260869563,0.5539130434782608
2018-11,0.706086956521739,-0.3504347826086956,-0.26740182294943804,-0.025277910929805383,0.19217391304347822,0.5626086956521739
2018-12,0.7799999999999999,-0.3060869565217391,-0.3181687811526047,-0.03312277983905532,0.19130434782608693,0.6530434782608695
2019-01,0.788695652173913,-0.3391304347826086,-0.28804918332779605,0.03356593869985875,0.24608695652173912,0.6130434782608695
2019-02,0.7826086956521738,-0.2965217391304348,-0.2802006822979709,-0.008287939663651541,0.15478260869565216,0.5182608695652173
2019-03,0.7808695652173911,-0.2713043478260869,-0.29165542717178733,-0.009158350568856524,0.31130434782608696,0.4513043478260869
2019-04,0.7539130434782607,-0.2269565217391304,-0.1559955814574833,0.03444530947021893,0.4305283859114459,0.328695652173913
2019-05,0.7530434782608695,-0.2217391304347826,-0.038346461395114204,0.003056127574259249,0.3479017259890472,0.13391304347826086
