feature,pearson_corr,spearman_corr,non_na,abs_spearman
PP价格__last,0.9371091809525282,0.923048865036726,79,0.923048865036726
PP价格__min,0.8879805748459604,0.8753159217509572,79,0.8753159217509572
PP价格__mean,0.8981673721835475,0.8745374878286272,79,0.8745374878286272
y_prev,0.8981673721835475,0.8745374878286272,79,0.8745374878286272
丙烯成本__last,0.8862098028142149,0.8689432933499104,79,0.8689432933499104
丙烯成本__max,0.8724487054443588,0.8495623805360764,79,0.8495623805360764
丙烯成本__mean,0.8850633255253674,0.8470840256000681,79,0.8470840256000681
丙烯成本__min,0.8634886935016157,0.8397412009216016,79,0.8397412009216016
PP价格__max,0.8590933685943335,0.8288184471104324,79,0.8288184471104324
MTO成本__max,0.7152302174865103,0.7377134823446305,66,0.7377134823446305
MTO成本__mean,0.7184884986937004,0.7355182131301535,66,0.7355182131301535
MTO成本__min,0.7030281331919056,0.7286468982777463,66,0.7286468982777463
MTO成本__last,0.7090706150161158,0.7256518982169411,66,0.7256518982169411
乙烯成本__last,0.7055071868437587,0.6778967867575463,79,0.6778967867575463
乙烯成本__max,0.6763845467277649,0.6580817916260955,79,0.6580817916260955
乙烯成本__mean,0.6853672190956769,0.6506572541382668,79,0.6506572541382668
乙烯成本__min,0.6764864369910606,0.6397760467380721,79,0.6397760467380721
GDP__min,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__last,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__max,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__mean,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
CTO成本__mean,0.4717648007485215,0.545508576931306,78,0.545508576931306
CTO成本__min,0.4962454353087724,0.5282274403539585,78,0.5282274403539585
CTO成本__max,0.43945931731972515,0.5238962478281619,78,0.5238962478281619
CTO成本__last,0.444682254426463,0.5046063577098546,78,0.5046063577098546
PDH成本__min,0.4074997409621764,0.4344827586206896,29,0.4344827586206896
PDH成本__last,0.360374475667839,0.4177339901477831,29,0.4177339901477831
MTO成本__range,0.32926644121144594,0.3842218677977518,66,0.3842218677977518
PDH成本__mean,0.28482629826319905,0.3773399014778324,29,0.3773399014778324
PP开工率__max,-0.33734297419016873,-0.3510535508684038,79,0.3510535508684038
PDH成本__range,-0.45949895120147116,-0.3241379310344827,29,0.3241379310344827
PDH成本__max,0.14840323292519153,0.30049261083743833,29,0.30049261083743833
PP开工率__mean,-0.14136426261167662,-0.28762221079042016,79,0.28762221079042016
PP开工率__range,-0.2239563892139772,-0.2861478737956162,79,0.2861478737956162
塑编开工率__range,-0.25411933216985033,-0.27869066797062997,79,0.27869066797062997
塑编开工率__max,-0.27575524054106243,-0.2607906975110724,79,0.2607906975110724
PP开工率__last,-0.030339097819735202,-0.2604852270891923,79,0.2604852270891923
PP石化库存__range,-0.22439281157311183,-0.2439090695551421,79,0.2439090695551421
y_return,0.2010732841875411,0.23079357351509253,79,0.23079357351509253
塑编开工率__last,-0.042342729227242144,-0.21889556298098484,79,0.21889556298098484
PP开工率__min,0.035477190394537186,-0.21758405211802878,79,0.21758405211802878
CTO成本__range,0.14609940274806169,0.2170387804778892,78,0.2170387804778892
PP石化库存__max,-0.2766573429516143,-0.21257424777603393,79,0.21257424777603393
PP石化库存__mean,-0.24124038873771078,-0.20163096397273614,79,0.20163096397273614
y_direction,0.203233816186569,0.19541086034110408,79,0.19541086034110408
PP石化库存__min,-0.18581490193017244,-0.17329738547950566,79,0.17329738547950566
排产比例__range,-0.1754851368330979,-0.16476788631674336,79,0.16476788631674336
PP石化库存__last,-0.19343342527587354,-0.16051187519693993,79,0.16051187519693993
排产比例__mean,-0.2385983897423668,-0.14929406037000975,79,0.14929406037000975
排产比例__last,-0.1585525925872891,-0.14490107656717066,79,0.14490107656717066
塑编开工率__mean,-0.054753222513256074,-0.1384494008482075,79,0.1384494008482075
排产比例__max,-0.24400247354927643,-0.1367478715150897,79,0.1367478715150897
PP产量__last,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__max,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__min,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
PP产量__mean,0.09962992089303639,0.12723953261927945,79,0.12723953261927945
塑编开工率__min,0.08390466284207948,-0.11727921361756924,79,0.11727921361756924
cal_year,0.15599104277455517,0.10552587091986512,79,0.10552587091986512
检修损失__mean,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__min,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__max,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
检修损失__last,-0.017498487981281625,-0.08942035918019971,42,0.08942035918019971
cal_month,0.1453489135223791,0.07985245085966061,79,0.07985245085966061
排产比例__min,-0.1155811557735985,-0.07796001585935966,79,0.07796001585935966
BOPP开工率__last,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__max,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__min,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
BOPP开工率__mean,0.11450041003181274,-0.04608306154738999,79,0.04608306154738999
丙烯成本__range,-0.03935050599096673,0.042284701895449944,79,0.042284701895449944
PP进口量__last,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__max,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__min,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP进口量__mean,-0.011760593881888182,0.03402947703931904,78,0.03402947703931904
PP价格__range,-0.050316360545367554,-0.022248430806271167,79,0.022248430806271167
乙烯成本__range,-0.10054513925835583,0.012341772151898736,79,0.012341772151898736
