feature,pearson_corr,spearman_corr,non_na,abs_spearman
PP价格__last,0.9371091809525282,0.923048865036726,79,0.923048865036726
PP价格__min,0.8879805748459604,0.8753159217509572,79,0.8753159217509572
PP价格__mean,0.8981673721835475,0.8745374878286272,79,0.8745374878286272
y_prev,0.8981673721835475,0.8745374878286272,79,0.8745374878286272
丙烯成本__last,0.8862098028142149,0.8689432933499104,79,0.8689432933499104
丙烯成本__max,0.8724487054443588,0.8495623805360764,79,0.8495623805360764
丙烯成本__mean,0.8850633255253674,0.8470840256000681,79,0.8470840256000681
丙烯成本__min,0.8634886935016157,0.8397412009216016,79,0.8397412009216016
PP价格__max,0.8590933685943335,0.8288184471104324,79,0.8288184471104324
丙烯成本__mean_roll_mean_3,0.8311690022200673,0.7803512277196487,77,0.7803512277196487
PP价格__mean_roll_mean_3,0.8008733120278241,0.772963878227036,77,0.772963878227036
MTO成本__max,0.7152302174865103,0.7377134823446305,66,0.7377134823446305
MTO成本__mean,0.7184884986937004,0.7355182131301535,66,0.7355182131301535
MTO成本__min,0.7030281331919056,0.7286468982777463,66,0.7286468982777463
MTO成本__last,0.7090706150161158,0.7256518982169411,66,0.7256518982169411
PDH成本__mean_mom_12,0.6254108990738834,0.7205882352941178,17,0.7205882352941178
MTO成本__mean_roll_mean_3,0.657708531701754,0.6915750915750914,64,0.6915750915750914
乙烯成本__last,0.7055071868437587,0.6778967867575463,79,0.6778967867575463
PP价格__mean_mom_12,0.6468101710001163,0.6755926251097455,67,0.6755926251097455
PP价格__mean_roll_mean_6,0.6490426586526191,0.6606288448393711,77,0.6606288448393711
乙烯成本__max,0.6763845467277649,0.6580817916260955,79,0.6580817916260955
乙烯成本__mean,0.6853672190956769,0.6506572541382668,79,0.6506572541382668
乙烯成本__min,0.6764864369910606,0.6397760467380721,79,0.6397760467380721
丙烯成本__mean_roll_mean_6,0.6972572807815292,0.6349177138650822,77,0.6349177138650822
MTO成本__mean_roll_mean_6,0.6039214803342101,0.6271978021978021,64,0.6271978021978021
价差__PP价格_minus_CTO成本__mean,0.5833484398412934,0.6193679737983535,78,0.6193679737983535
丙烯成本__mean_mom_12,0.5714315808291393,0.615891132572432,67,0.615891132572432
CTO成本__mean_roll_mean_12,0.48234979140045425,0.6146821599453178,76,0.6146821599453178
GDP__mean_roll_mean_6,0.2161523983012419,0.5976456474556313,53,0.5976456474556313
GDP__mean_roll_mean_12,0.29389064651394053,0.5911451618597665,53,0.5911451618597665
GDP__mean,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__last,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__max,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
GDP__min,0.1751588504148894,0.5879757732936077,55,0.5879757732936077
乙烯成本__mean_mom_12,0.5304036400614467,0.5798946444249342,67,0.5798946444249342
GDP__mean_roll_mean_3,0.16493630270099363,0.5770379319681087,53,0.5770379319681087
MTO成本__mean_roll_mean_12,0.5886797919380905,0.5760531135531135,64,0.5760531135531135
乙烯成本__mean_roll_mean_3,0.6126407711480223,0.5747936274252063,77,0.5747936274252063
CTO成本__mean,0.4717648007485215,0.545508576931306,78,0.545508576931306
CTO成本__mean_roll_mean_3,0.5184372614191799,0.5429665071770335,76,0.5429665071770335
丙烯成本__mean_roll_mean_12,0.5020646715762634,0.5288395814711604,77,0.5288395814711604
CTO成本__min,0.4962454353087724,0.5282274403539585,78,0.5282274403539585
CTO成本__mean_roll_mean_6,0.5037853934601587,0.5281476418318524,76,0.5281476418318524
CTO成本__max,0.43945931731972515,0.5238962478281619,78,0.5238962478281619
CTO成本__last,0.444682254426463,0.5046063577098546,78,0.5046063577098546
PP石化库存__mean_roll_mean_12,-0.48942562196512224,-0.5038645564961354,77,0.5038645564961354
PP开工率__mean_roll_std_12,-0.477064151675863,-0.49145591250854403,77,0.49145591250854403
检修损失__mean_roll_std_6,-0.4598237479950886,-0.4858576861670316,40,0.4858576861670316
塑编开工率__mean_roll_std_12,-0.3862738342148746,-0.4707560252745431,77,0.4707560252745431
乙烯成本__mean_roll_mean_6,0.49999336027163627,0.46274777853725213,77,0.46274777853725213
检修损失__mean_roll_std_12,-0.3200098185159501,-0.45403377110694193,40,0.45403377110694193
CTO成本__mean_roll_std_6,0.335844998883268,0.4486671223513329,76,0.4486671223513329
PP价格__mean_roll_mean_12,0.40688184206407857,0.44810452705189546,77,0.44810452705189546
CTO成本__mean_roll_std_3,0.26184694133679537,0.4357347915242652,76,0.4357347915242652
PDH成本__min,0.4074997409621764,0.4344827586206896,29,0.4344827586206896
PDH成本__range_over_mean,-0.4854488855457926,-0.4285714285714285,29,0.4285714285714285
MTO成本__mean_roll_std_6,0.2951175572321886,0.42312271062271056,64,0.42312271062271056
PP产量__mean_roll_std_12,-0.34322575202538363,-0.4207371575792628,77,0.4207371575792628
PDH成本__last,0.360374475667839,0.4177339901477831,29,0.4177339901477831
塑编开工率__mean_roll_std_6,-0.3043719538892979,-0.40522669698816793,77,0.40522669698816793
PP开工率__mean_roll_std_6,-0.30475602950904734,-0.3981281876018718,77,0.3981281876018718
PP价格__mean_roll_std_12,-0.4867052224432479,-0.38903202061096787,77,0.38903202061096787
MTO成本__range,0.32926644121144594,0.3842218677977518,66,0.3842218677977518
MTO成本__max_minus_min,0.32926644121144594,0.3842218677977518,66,0.3842218677977518
比值__PP价格_div_CTO成本__mean,0.3163510324694047,0.38357844686958614,78,0.38357844686958614
PDH成本__mean,0.28482629826319905,0.3773399014778324,29,0.3773399014778324
MTO成本__mean_roll_std_3,0.3303660387804337,0.36877289377289374,64,0.36877289377289374
PP价格__mean_mom_3,0.4386425161799322,0.36565960355434046,76,0.36565960355434046
丙烯成本__mean_roll_std_12,-0.5091516631155133,-0.3604553341395446,77,0.3604553341395446
PP价格__mean_mom_1,0.32947322861515094,0.35871723213495366,78,0.35871723213495366
PP开工率__max,-0.33734297419016873,-0.3510535508684038,79,0.3510535508684038
MTO成本__mean_mom_12,0.3441810779276159,0.3499523537259386,54,0.3499523537259386
指数__下游开工均值__mean,-0.04151296995309355,-0.34512137976162316,79,0.34512137976162316
乙烯成本__mean_mom_3,0.3190258888011227,0.3400956937799043,76,0.3400956937799043
PP石化库存__mean_roll_mean_6,-0.26480494501566065,-0.3376360481623639,77,0.3376360481623639
BOPP开工率__mean_roll_mean_12,0.2575060366872246,0.3282506966717493,77,0.3282506966717493
PDH成本__range,-0.45949895120147116,-0.3241379310344827,29,0.3241379310344827
PDH成本__max_minus_min,-0.45949895120147116,-0.3241379310344827,29,0.3241379310344827
GDP__mean_mom_12,0.1389334676860054,0.3208431210706771,43,0.3208431210706771
比值__PP价格_div_MTO成本__mean,-0.21514882998574836,-0.3163552865045403,66,0.3163552865045403
PP石化库存__mean_roll_mean_3,-0.29299771817526993,-0.3147116041852884,77,0.3147116041852884
丙烯成本__mean_mom_3,0.3873946476453657,0.31204374572795623,76,0.31204374572795623
PDH成本__max,0.14840323292519153,0.30049261083743833,29,0.30049261083743833
PDH成本__mean_roll_mean_3,0.14825742014866578,0.28937728937728935,27,0.28937728937728935
PP开工率__mean,-0.14136426261167662,-0.28762221079042016,79,0.28762221079042016
PP开工率__max_minus_min,-0.2239563892139772,-0.2861478737956162,79,0.2861478737956162
PP开工率__range,-0.2239563892139772,-0.2861478737956162,79,0.2861478737956162
乙烯成本__mean_roll_mean_12,0.28895888067447445,0.2856354172143646,77,0.2856354172143646
PP开工率__mean_roll_mean_6,-0.2520918400040882,-0.28474344566211013,77,0.28474344566211013
PP开工率__mean_roll_mean_12,-0.2444777223551314,-0.28382144171617857,77,0.28382144171617857
PP开工率__mean_roll_mean_3,-0.20310508166300445,-0.28331065849669745,77,0.28331065849669745
排产比例__mean_roll_std_3,-0.2843397310019565,-0.28192859771807144,77,0.28192859771807144
塑编开工率__max_minus_min,-0.25411933216985033,-0.27869066797062997,79,0.27869066797062997
塑编开工率__range,-0.25411933216985033,-0.27869066797062997,79,0.27869066797062997
比值__PP价格_div_丙烯成本__mean,-0.3876556729067822,-0.2727848101265823,79,0.2727848101265823
检修损失__mean_mom_12,-0.5288425620505537,-0.27188786462602804,30,0.27188786462602804
塑编开工率__mean_roll_std_3,-0.2957521155531407,-0.2716171097502545,77,0.2716171097502545
PP价格__mean_roll_std_6,-0.3852991768249292,-0.26460381723539617,77,0.26460381723539617
PP开工率__mean_roll_std_3,-0.2362477767678715,-0.2641717767275149,77,0.2641717767275149
MTO成本__mean_mom_3,0.2389660183611676,0.26406490015360984,63,0.26406490015360984
乙烯成本__last_minus_mean,0.20699969058198792,0.2620740019474197,79,0.2620740019474197
塑编开工率__max,-0.27575524054106243,-0.2607906975110724,79,0.2607906975110724
PP开工率__last,-0.030339097819735202,-0.2604852270891923,79,0.2604852270891923
塑编开工率__range_over_mean,-0.2724936088226751,-0.25462972167916875,79,0.25462972167916875
价差__PP价格_minus_乙烯成本__mean,0.3146949272038714,0.25170399221032136,79,0.25170399221032136
CTO成本__mean_mom_12,0.15008492108758825,0.2502244024632085,66,0.2502244024632085
PP产量__mean_mom_12,-0.2541735652652606,-0.24559023066485758,67,0.24559023066485758
PP开工率__range_over_mean,-0.20893884657631703,-0.2449341659079808,79,0.2449341659079808
供需__库存_div_产量__mean,-0.23931731397118752,-0.24491236611489775,79,0.24491236611489775
PP石化库存__range,-0.22439281157311183,-0.2439090695551421,79,0.2439090695551421
PP石化库存__max_minus_min,-0.22439281157311183,-0.2439090695551421,79,0.2439090695551421
PP石化库存__mean_roll_std_6,-0.2709305518049156,-0.24086439875913557,77,0.24086439875913557
