feature,pearson_corr,spearman_corr,non_na,abs_spearman
PDH成本__last,-0.49103993219203096,-0.4561576354679802,29,0.4561576354679802
PDH成本__mean,-0.44666230118586886,-0.42068965517241375,29,0.42068965517241375
PDH成本__max,-0.38693953022404437,-0.4162561576354679,29,0.4162561576354679
PDH成本__min,-0.48924997012084875,-0.4029556650246304,29,0.4029556650246304
排产比例__mean,-0.3065482191317631,-0.3523855890944499,79,0.3523855890944499
排产比例__max,-0.2688886136114651,-0.28385377050319593,79,0.28385377050319593
排产比例__min,-0.2016131078456004,-0.2717463409954822,79,0.2717463409954822
期货价格__min,-0.38005214279260774,-0.26103896103896107,21,0.26103896103896107
丙烯成本__range,-0.23480629790928478,-0.2388774650488268,79,0.2388774650488268
PP石化库存__min,-0.11380342498718346,-0.23351862264536208,79,0.23351862264536208
期货价格__max,-0.2122920279920211,-0.22727272727272727,21,0.22727272727272727
排产比例__last,-0.2009801392683903,-0.214838211044698,79,0.214838211044698
乙烯成本__mean,-0.2303979717684313,-0.2027020447906524,79,0.2027020447906524
乙烯成本__min,-0.24199659779841742,-0.19483933787731256,79,0.19483933787731256
PP价格__mean,-0.24571801726140524,-0.1929649464459591,79,0.1929649464459591
检修损失__mean,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__last,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__min,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__max,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
MTO成本__max,-0.2251889747597442,-0.18495553247746094,66,0.18495553247746094
期货价格__mean,-0.2972732292773388,-0.18181818181818182,21,0.18181818181818182
PP石化库存__range,0.14544446928754604,0.1807938518263842,79,0.1807938518263842
期货价格__range,0.3611382402262836,0.18051948051948052,21,0.18051948051948052
MTO成本__mean,-0.21235757443756917,-0.17920885085064192,66,0.17920885085064192
PP进口量__last,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__max,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__min,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__mean,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
CTO成本__range,0.06338311386820801,0.1764341362691222,78,0.1764341362691222
乙烯成本__max,-0.20646607722209773,-0.17183544303797468,79,0.17183544303797468
PP石化库存__last,-0.04040934667469462,-0.16561348148591196,79,0.16561348148591196
MTO成本__last,-0.1848998005345946,-0.16407440785105412,66,0.16407440785105412
PP价格__max,-0.2394994676483284,-0.16357217534966814,79,0.16357217534966814
PP价格__min,-0.21839903812569034,-0.1520393216707814,79,0.1520393216707814
PP石化库存__mean,-0.0409068346582119,-0.1469084712755599,79,0.1469084712755599
MTO成本__min,-0.20823191170962557,-0.14328663790487603,66,0.14328663790487603
乙烯成本__last,-0.18463901390181658,-0.12577896786757545,79,0.12577896786757545
PP价格__range,-0.04648618545523227,-0.10644849542013622,79,0.10644849542013622
期货价格__last,-0.16245767770270297,-0.09480519480519481,21,0.09480519480519481
PDH成本__range,0.13652451639848517,-0.0921182266009852,29,0.0921182266009852
cal_month,0.05219753546892043,0.09001415766835405,79,0.09001415766835405
PP石化库存__max,-0.014499343861115836,-0.07389862706989252,79,0.07389862706989252
塑编开工率__min,0.0618926165151458,-0.06407586626842744,79,0.06407586626842744
MTO成本__range,-0.14231237563754437,-0.05874000620190629,66,0.05874000620190629
BOPP开工率__last,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__mean,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__min,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
BOPP开工率__max,0.09098076954022015,0.05757339702037893,79,0.05757339702037893
丙烯成本__mean,-0.07308132827582053,-0.0543455108670657,79,0.0543455108670657
cal_year,0.0548677873928016,0.05433794845873652,79,0.05433794845873652
丙烯成本__max,-0.10833921134960135,-0.05423204810626632,79,0.05423204810626632
排产比例__range,-0.11282672030196517,-0.05332408288052394,79,0.05332408288052394
PP开工率__min,-0.008321036401379454,-0.048013336167253014,79,0.048013336167253014
塑编开工率__range,-0.09107596868280009,0.04673441417977611,79,0.04673441417977611
塑编开工率__mean,0.0026710901217899736,-0.0455204479121724,79,0.0455204479121724
丙烯成本__last,0.008664501798153772,0.035646458324743086,79,0.035646458324743086
PP开工率__range,0.010061295429081869,0.03230862388541316,79,0.03230862388541316
CTO成本__max,0.014847861259362296,0.029770712550090356,78,0.029770712550090356
GDP__last,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__max,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__min,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
GDP__mean,-0.016826731825552884,0.028657456771367027,55,0.028657456771367027
塑编开工率__max,-0.027993780694160583,-0.020992023196821984,79,0.020992023196821984
乙烯成本__range,0.14452043926403865,0.02064264849074976,79,0.02064264849074976
PP价格__last,-0.07662064253112873,-0.01833533278919106,79,0.01833533278919106
PP开工率__max,0.0006900169608111466,-0.015770007570041992,79,0.015770007570041992
CTO成本__min,-0.005514992145552004,-0.01523927565663953,78,0.01523927565663953
塑编开工率__last,0.10764948025991078,-0.01402377958045486,79,0.01402377958045486
CTO成本__last,-0.014153131613754323,-0.013657833349873263,78,0.013657833349873263
PP开工率__mean,-0.029261515899887274,-0.013428457079442685,79,0.013428457079442685
PP开工率__last,0.1279477679958965,0.011982222831252899,79,0.011982222831252899
CTO成本__mean,0.009714136318974297,0.007245964453188335,78,0.007245964453188335
PP产量__max,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__min,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__last,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
PP产量__mean,0.02290108607623341,0.0060856864654333,79,0.0060856864654333
丙烯成本__min,-0.011399433142750416,-0.004115602492735465,79,0.004115602492735465
