feature,pearson_corr,spearman_corr,non_na,abs_spearman
PP价格__last_minus_mean,0.5961715053053782,0.6695959104186953,79,0.6695959104186953
PDH成本__last,-0.49103993219203096,-0.4561576354679802,29,0.4561576354679802
期货价格__last_minus_mean,0.2522876296190999,0.45194805194805193,21,0.45194805194805193
期货价格__mean_roll_mean_12,-0.4388093899891412,-0.4263157894736842,19,0.4263157894736842
PDH成本__mean,-0.44666230118586886,-0.42068965517241375,29,0.42068965517241375
PDH成本__max,-0.38693953022404437,-0.4162561576354679,29,0.4162561576354679
PDH成本__min,-0.48924997012084875,-0.4029556650246304,29,0.4029556650246304
PDH成本__mean_roll_mean_12,-0.3834524192937644,-0.3974358974358974,27,0.3974358974358974
PDH成本__mean_mom_12,-0.4786145891047071,-0.3921568627450981,17,0.3921568627450981
比值__PP价格_div_PDH成本__mean,0.3184807523729542,0.38472906403940876,29,0.38472906403940876
PDH成本__mean_roll_mean_3,-0.3406767911851809,-0.3791208791208791,27,0.3791208791208791
PDH成本__mean_roll_std_12,0.3913869906834405,0.3717948717948718,27,0.3717948717948718
排产比例__mean,-0.3065482191317631,-0.3523855890944499,79,0.3523855890944499
PP价格__mean_mom_1,0.3127174397407747,0.34366898923860945,78,0.34366898923860945
排产比例__mean_mom_3,-0.2985005174522568,-0.30764183185235816,76,0.30764183185235816
期货价格__mean_roll_mean_3,-0.30364961702014537,-0.30701754385964913,19,0.30701754385964913
丙烯成本__last_minus_mean,0.2890016142595694,0.3029594873442625,79,0.3029594873442625
PDH成本__mean_mom_3,-0.34120182526674453,-0.30188034188034185,26,0.30188034188034185
塑编开工率__mean_mom_12,0.3925083058263114,0.29612779028537356,67,0.29612779028537356
期货价格__mean_roll_mean_6,-0.29680866480070217,-0.28771929824561404,19,0.28771929824561404
PP价格__mean_roll_std_3,-0.27683343114943837,-0.2877122877122877,77,0.2877122877122877
PP产量__mean_roll_std_6,-0.22324696314970635,-0.2851884957148115,77,0.2851884957148115
排产比例__max,-0.2688886136114651,-0.28385377050319593,79,0.28385377050319593
CTO成本__mean_roll_std_3,0.15569374113324969,0.2826520847573479,76,0.2826520847573479
乙烯成本__last_minus_mean,0.14860205067018087,0.2826192794547225,79,0.2826192794547225
排产比例__min,-0.2016131078456004,-0.2717463409954822,79,0.2717463409954822
PDH成本__mean_roll_mean_6,-0.23794283192692328,-0.27167277167277165,27,0.27167277167277165
GDP__mean_mom_1,0.15273299628054945,0.26381848023715027,54,0.26381848023715027
期货价格__mean_roll_std_6,0.4233848600291136,0.2614035087719298,19,0.2614035087719298
期货价格__min,-0.38005214279260774,-0.26103896103896107,21,0.26103896103896107
丙烯成本__range_over_mean,-0.22602528093696692,-0.2607838364167478,79,0.2607838364167478
丙烯成本__mean_roll_std_3,-0.32129025018566487,-0.2579262842420737,77,0.2579262842420737
PP价格__mean_roll_mean_6,-0.34136196278203856,-0.2563489142436511,77,0.2563489142436511
MTO成本__mean_roll_std_3,-0.2260712391957455,-0.25618131868131866,64,0.25618131868131866
价差__PP价格_minus_PDH成本__mean,0.24059386599917537,0.2551724137931034,29,0.2551724137931034
丙烯成本__mean_mom_3,0.30998359525606795,0.25476418318523586,76,0.25476418318523586
丙烯成本__mean_roll_std_6,-0.2979362610804283,-0.2532467532467532,77,0.2532467532467532
PP价格__mean_roll_mean_12,-0.29885869368090995,-0.251091014248909,77,0.251091014248909
PP进口量__mean_roll_mean_3,-0.08277103516685796,-0.25088174982911826,76,0.25088174982911826
价差__PP价格_minus_丙烯成本__mean,-0.32918761409650726,-0.24905063291139243,79,0.24905063291139243
PP进口量__mean_roll_mean_6,-0.0399003397088663,-0.24904043325095956,77,0.24904043325095956
PP价格__mean_roll_mean_3,-0.3109173682572834,-0.24825174825174823,77,0.24825174825174823
乙烯成本__mean_roll_mean_3,-0.2616249262973801,-0.24396655975603343,77,0.24396655975603343
排产比例__mean_roll_mean_3,-0.18580869080451118,-0.24157421525842576,77,0.24157421525842576
CTO成本__mean_mom_3,0.21501934055161265,0.2409388335704125,75,0.2409388335704125
丙烯成本__mean_roll_mean_6,-0.2714990880753214,-0.24073295125926703,77,0.24073295125926703
丙烯成本__max_minus_min,-0.23480629790928478,-0.2388774650488268,79,0.2388774650488268
丙烯成本__range,-0.23480629790928478,-0.2388774650488268,79,0.2388774650488268
PP石化库存__min,-0.11380342498718346,-0.23351862264536208,79,0.23351862264536208
乙烯成本__mean_roll_mean_6,-0.266260785492077,-0.22948104527051894,77,0.22948104527051894
期货价格__max,-0.2122920279920211,-0.22727272727272727,21,0.22727272727272727
乙烯成本__mean_roll_std_12,0.21192030121681626,0.22080551027919446,77,0.22080551027919446
PP石化库存__mean_roll_std_6,0.20048093818442594,0.2176244807823755,77,0.2176244807823755
cal_month_cos,-0.2324762831203637,-0.2172649184872248,79,0.2172649184872248
期货价格__mean_roll_std_3,-0.14169917971591622,-0.2157894736842105,19,0.2157894736842105
比值__PP价格_div_CTO成本__mean,-0.22326908175253646,-0.21577157020194992,78,0.21577157020194992
排产比例__last,-0.2009801392683903,-0.214838211044698,79,0.214838211044698
比值__PP价格_div_丙烯成本__mean,-0.31116089640179384,-0.21455696202531646,79,0.21455696202531646
期货价格__mean_mom_3,-0.14115263919494073,-0.21362229102167182,18,0.21362229102167182
乙烯成本__mean_mom_12,-0.27156306472160013,-0.21202809482001758,67,0.21202809482001758
PP石化库存__mean_mom_3,-0.11168721703274902,-0.210580997949419,76,0.210580997949419
期货价格__mean_roll_std_12,0.4587264600178392,0.21052631578947367,19,0.21052631578947367
价差__PP价格_minus_CTO成本__mean,-0.24195469428406008,-0.20757723289368857,78,0.20757723289368857
乙烯成本__mean_roll_mean_12,-0.22890389883961812,-0.2061096797938903,77,0.2061096797938903
乙烯成本__mean,-0.2303979717684313,-0.2027020447906524,79,0.2027020447906524
PP产量__mean_mom_3,-0.19958804033979652,-0.20049213943950786,76,0.20049213943950786
PP石化库存__range_over_mean,0.1835411036769686,0.19931840311587148,79,0.19931840311587148
PDH成本__mean_roll_std_6,0.3391936192609567,0.19658119658119658,27,0.19658119658119658
PP石化库存__mean_roll_std_12,0.21482980499485446,0.19632998580366998,77,0.19632998580366998
乙烯成本__min,-0.24199659779841742,-0.19483933787731256,79,0.19483933787731256
PP价格__mean,-0.24571801726140524,-0.1929649464459591,79,0.1929649464459591
PP进口量__mean_roll_std_6,0.146556248381296,0.19201850780798144,77,0.19201850780798144
检修损失__min,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__last,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__mean,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
检修损失__max,0.18049911073487326,0.19124444905357307,42,0.19124444905357307
丙烯成本__mean_roll_mean_12,-0.23795873547135768,-0.1905462958094537,77,0.1905462958094537
供需__检修损失_div_产量__mean,0.14766036296786175,0.19001701644923427,42,0.19001701644923427
期货价格__range_over_mean,0.40550988863604415,0.187012987012987,21,0.187012987012987
排产比例__mean_mom_12,-0.15011083882037776,-0.18660707159390216,67,0.18660707159390216
MTO成本__max,-0.2251889747597442,-0.18495553247746094,66,0.18495553247746094
检修损失__mean_roll_mean_3,0.14894526642867742,0.1845302314521242,40,0.1845302314521242
期货价格__mean,-0.2972732292773388,-0.18181818181818182,21,0.18181818181818182
GDP__mean_roll_std_3,0.021196711273486598,-0.18148441705531346,53,0.18148441705531346
MTO成本__mean_roll_mean_3,-0.23042420997419744,-0.18136446886446883,64,0.18136446886446883
PP石化库存__max_minus_min,0.14544446928754604,0.1807938518263842,79,0.1807938518263842
PP石化库存__range,0.14544446928754604,0.1807938518263842,79,0.1807938518263842
丙烯成本__mean_mom_1,0.2425417323374778,0.1806421426674591,78,0.1806421426674591
期货价格__range,0.3611382402262836,0.18051948051948052,21,0.18051948051948052
期货价格__max_minus_min,0.3611382402262836,0.18051948051948052,21,0.18051948051948052
MTO成本__mean,-0.21235757443756917,-0.17920885085064192,66,0.17920885085064192
塑编开工率__mean_roll_std_6,0.18979113736687597,0.17847800120055654,77,0.17847800120055654
PP进口量__min,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__last,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__mean,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
PP进口量__max,-0.07716726222029613,-0.1773174756764517,78,0.1773174756764517
CTO成本__range,0.06338311386820801,0.1764341362691222,78,0.1764341362691222
CTO成本__max_minus_min,0.06338311386820801,0.1764341362691222,78,0.1764341362691222
MTO成本__mean_roll_mean_6,-0.2027454410080036,-0.1758241758241758,64,0.1758241758241758
CTO成本__range_over_mean,0.08408315814746203,0.17291678522320644,78,0.17291678522320644
排产比例__mean_mom_1,-0.11223219796135556,-0.1721443113848177,78,0.1721443113848177
乙烯成本__max,-0.20646607722209773,-0.17183544303797468,79,0.17183544303797468
检修损失__mean_roll_std_3,0.2135788808088211,0.17177165927241453,40,0.17177165927241453
丙烯成本__mean_roll_mean_3,-0.1875027828258957,-0.16996161733003837,77,0.16996161733003837
PDH成本__last_minus_mean,-0.19651616941526473,-0.1679802955665024,29,0.1679802955665024
PP进口量__mean_roll_mean_12,-0.012274222897656405,-0.16670171933329825,77,0.16670171933329825
PP石化库存__mean_roll_mean_6,0.1600191731111741,0.1660181923339818,77,0.1660181923339818
PP石化库存__last,-0.04040934667469462,-0.16561348148591196,79,0.16561348148591196
MTO成本__last,-0.1848998005345946,-0.16407440785105412,66,0.16407440785105412
PP价格__max,-0.2394994676483284,-0.16357217534966814,79,0.16357217534966814
供需__进口_div_产量__mean,-0.10899549741697044,-0.1629383274952895,78,0.1629383274952895
检修损失__mean_roll_mean_12,0.10293688666122973,0.16285178236397752,40,0.16285178236397752
MTO成本__mean_roll_std_12,-0.17213904682157508,-0.1624084249084249,64,0.1624084249084249
乙烯成本__mean_roll_std_3,0.1895714864043524,0.1615752668384247,77,0.1615752668384247
PP石化库存__mean_mom_1,-0.06361081215926871,-0.16139556645885758,78,0.16139556645885758
CTO成本__mean_roll_std_6,0.10510237233417793,0.16098427887901573,76,0.16098427887901573
PP价格__min,-0.21839903812569034,-0.1520393216707814,79,0.1520393216707814
MTO成本__mean_roll_std_6,-0.1460066234350469,-0.14885531135531135,64,0.14885531135531135
PP石化库存__mean,-0.0409068346582119,-0.1469084712755599,79,0.1469084712755599
期货价格__mean_mom_1,0.09725456401107963,0.14436090225563908,20,0.14436090225563908
MTO成本__min,-0.20823191170962557,-0.14328663790487603,66,0.14328663790487603
排产比例__mean_roll_std_3,-0.10559381071676549,-0.1432514853567485,77,0.1432514853567485
GDP__mean_mom_12,0.027388254982202348,0.13968413929540455,43,0.13968413929540455
乙烯成本__mean_mom_1,0.016775711987945394,0.13668609871141515,78,0.13668609871141515
检修损失__mean_roll_std_12,0.05604200754723468,0.13039399624765483,40,0.13039399624765483
乙烯成本__last,-0.18463901390181658,-0.12577896786757545,79,0.12577896786757545
检修损失__mean_mom_1,-0.13497878532349683,-0.12543554006968644,41,0.12543554006968644
PP开工率__last_minus_mean,0.25039520515590485,0.12441928634829506,79,0.12441928634829506
PP产量__mean_roll_std_12,-0.05555405443147683,-0.12151006887848992,77,0.12151006887848992
排产比例__mean_roll_std_6,0.14831798995259105,0.12053735737946263,77,0.12053735737946263
排产比例__mean_roll_std_12,0.12223221420914439,0.11998527788001472,77,0.11998527788001472
检修损失__mean_mom_12,0.16679031921426687,0.11858938776241647,30,0.11858938776241647
PP开工率__mean_mom_12,0.2285441811969477,0.11521730463739091,67,0.11521730463739091
MTO成本__mean_roll_mean_12,-0.16208131148469573,-0.11195054945054946,64,0.11195054945054946
BOPP开工率__mean_mom_12,0.19658066311675657,0.11022427967116293,67,0.11022427967116293
PP价格__mean_mom_3,0.0771459134644961,0.10679425837320575,76,0.10679425837320575
PP价格__range,-0.04648618545523227,-0.10644849542013622,79,0.10644849542013622
PP价格__max_minus_min,-0.04648618545523227,-0.10644849542013622,79,0.10644849542013622
GDP__mean_roll_std_6,0.038756720228452064,-0.10585675364717487,53,0.10585675364717487
塑编开工率__mean_mom_3,0.018503405225661025,-0.1042810174043734,76,0.1042810174043734
PP进口量__mean_mom_12,-0.09087785866660444,-0.1027241415301117,66,0.1027241415301117
MTO成本__mean_mom_1,0.08228809368931503,0.10244755244755245,65,0.10244755244755245
BOPP开工率__mean_roll_mean_3,0.03914513265547115,0.10200460073178338,77,0.10200460073178338
排产比例__mean_roll_mean_12,-0.02157000152284038,-0.0991902834008097,77,0.0991902834008097
期货价格__last,-0.16245767770270297,-0.09480519480519481,21,0.09480519480519481
PDH成本__mean_roll_std_3,0.37697575081691176,0.09462759462759461,27,0.09462759462759461
BOPP开工率__mean_roll_mean_6,0.06798222620648443,0.09335401440664598,77,0.09335401440664598
供需__库存_div_产量__mean,-0.05992998418586308,-0.09284323271665045,79,0.09284323271665045
PP价格__mean_mom_12,-0.16886128176339002,-0.09262510974539069,67,0.09262510974539069
cal_month_sin,-0.091196521206894,-0.09250495313538719,79,0.09250495313538719
PDH成本__max_minus_min,0.13652451639848517,-0.0921182266009852,29,0.0921182266009852
PDH成本__range,0.13652451639848517,-0.0921182266009852,29,0.0921182266009852
BOPP开工率__mean_mom_1,0.21057338436510706,0.09069468945596289,78,0.09069468945596289
cal_month,0.05219753546892043,0.09001415766835405,79,0.09001415766835405
CTO成本__last_minus_mean,-0.11685774675688612,-0.0893795405848781,78,0.0893795405848781
检修损失__mean_roll_std_6,0.05332275716385783,0.08724611858183808,40,0.08724611858183808
PP价格__range_over_mean,0.013539861142792927,-0.08478578383641676,79,0.08478578383641676
比值__PP价格_div_乙烯成本__mean,0.08986813101082214,0.0810126582278481,79,0.0810126582278481
塑编开工率__mean_roll_std_12,0.08770734636435677,0.07833007998802116,77,0.07833007998802116
塑编开工率__mean_roll_mean_6,0.05006913251487685,0.0765079763536717,77,0.0765079763536717
GDP__mean_mom_3,-0.13136915335054045,0.07614681230725458,52,0.07614681230725458
PDH成本__mean_mom_1,-0.21931287681302025,-0.0755336617405583,28,0.0755336617405583
塑编开工率__mean_roll_mean_12,0.05530698001326165,0.0752016089295971,77,0.0752016089295971
BOPP开工率__mean_roll_std_12,0.1144163402098079,0.07492507492507493,77,0.07492507492507493
排产比例__mean_roll_mean_6,-0.0019505408712683367,-0.07408381092591618,77,0.07408381092591618
PP石化库存__max,-0.014499343861115836,-0.07389862706989252,79,0.07389862706989252
PP石化库存__last_minus_mean,0.0022407410039694325,-0.07268743914313534,79,0.07268743914313534
排产比例__last_minus_mean,0.01319355368673161,0.07134858812074002,79,0.07134858812074002
PP价格__mean_roll_std_12,0.13229764473492225,0.06982491193017508,77,0.06982491193017508
PP进口量__mean_mom_3,-0.05217538197390915,-0.06950213371266002,75,0.06950213371266002
PP开工率__mean_roll_std_12,0.041388700984516184,0.06945685893054314,77,0.06945685893054314
检修损失__mean_roll_mean_6,-0.10458441309207665,-0.06885876455813887,40,0.06885876455813887
PP产量__mean_roll_std_3,-0.0038081678610773217,-0.068378989431621,77,0.068378989431621
丙烯成本__mean_roll_std_12,0.021496736489505265,-0.06790577843209422,77,0.06790577843209422
cal_time_index,0.06297977774455277,0.06587147030185005,79,0.06587147030185005
乙烯成本__mean_roll_std_6,0.13213501236550593,0.06506651243493347,77,0.06506651243493347
塑编开工率__min,0.0618926165151458,-0.06407586626842744,79,0.06407586626842744
PP石化库存__mean_roll_std_3,0.12060466403549115,0.06230611493769388,77,0.06230611493769388
乙烯成本__range_over_mean,0.20117996592907827,0.06185491723466407,79,0.06185491723466407
检修损失__mean_mom_3,0.07430904270438282,0.061336032388663975,39,0.061336032388663975
