factor,filename,mode,start_date,end_date,n_rows,n_cols,n_unique_dates,n_unique_months,freq_guess,median_gap_days,平均__count,平均__missing_rate,平均__mean,平均__std,平均__min,平均__p25,平均__p50,平均__p75,平均__max,最低__count,最低__missing_rate,最低__mean,最低__std,最低__min,最低__p25,最低__p50,最低__p75,最低__max,最高__count,最高__missing_rate,最高__mean,最高__std,最高__min,最高__p25,最高__p50,最高__p75,最高__max,value_col,value__count,value__missing_rate,value__mean,value__std,value__min,value__p25,value__p50,value__p75,value__max
BOPP开工率,7-BOPP月度开工率.xlsx,mma,2010-01-01,2021-06-01,138,19,138,138,monthly,31.0,138.0,0.0,68.25826086956522,12.872581912396882,31.03,58.8125,63.864999999999995,82.035,92.6,138.0,0.0,68.25826086956522,12.872581912396882,31.03,58.8125,63.864999999999995,82.035,92.6,138.0,0.0,68.25826086956522,12.872581912396882,31.03,58.8125,63.864999999999995,82.035,92.6,,,,,,,,,,
CTO成本,11-CTO生产路线日度含税成本.xlsx,mma,2015-01-04,2021-07-15,1600,17,1600,79,daily_or_irregular,1.0,1600.0,0.0,5436.049375,703.4948501052511,4360.0,4810.75,5601.25,5757.25,8335.0,1600.0,0.0,5436.049375,703.4948501052511,4360.0,4810.75,5601.25,5757.25,8335.0,1600.0,0.0,5436.049375,703.4948501052511,4360.0,4810.75,5601.25,5757.25,8335.0,,,,,,,,,,
GDP,16-年度GDP.xlsx,single,2016-12-31,2020-12-31,5,4,5,5,annual_or_sparse,365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,值,5.0,0.0,105.73999999999998,1.776063061943466,102.3,106.0,106.3,106.8,107.3
MTO成本,10-MTO生产路线日度含税成本.xlsx,mma,2016-01-04,2021-07-15,1356,17,1356,67,daily_or_irregular,1.0,1356.0,0.0,7277.123893805309,1293.1585731339364,4960.0,6261.25,7150.0,8245.0,10420.0,1356.0,0.0,7277.123893805309,1293.1585731339364,4960.0,6261.25,7150.0,8245.0,10420.0,1356.0,0.0,7277.123893805309,1293.1585731339364,4960.0,6261.25,7150.0,8245.0,10420.0,,,,,,,,,,
PDH成本,8-PDH生产路线日度含税成本.xlsx,mma,2019-02-13,2021-07-15,601,17,601,30,daily_or_irregular,1.0,601.0,0.0,6677.360432612313,847.7356941527106,4240.44,5964.49,6788.92,7313.47,8609.83,601.0,0.0,6677.360432612313,847.7356941527106,4240.44,5964.49,6788.92,7313.47,8609.83,601.0,0.0,6677.360432612313,847.7356941527106,4240.44,5964.49,6788.92,7313.47,8609.83,,,,,,,,,,
PP产量,2-中国PP月度产量.xlsx,mma,2014-01-31,2021-06-30,90,17,90,90,monthly,31.0,90.0,0.0,1676.0365555555557,348.2201049277792,988.4,1447.4250000000002,1670.99,1844.04,2394.98,90.0,0.0,1676.0365555555557,348.2201049277792,988.4,1447.4250000000002,1670.99,1844.04,2394.98,90.0,0.0,1676.0365555555557,348.2201049277792,988.4,1447.4250000000002,1670.99,1844.04,2394.98,,,,,,,,,,
PP价格,1-华东市场PP粒市场价_法定工作日.xlsx,mma,2014-12-01,2021-07-15,1649,17,1649,80,daily_or_irregular,1.0,1649.0,0.0,8412.96846573681,907.35534386956,6050.0,7900.0,8550.0,9000.0,11075.0,1649.0,0.0,8349.902971497877,910.2697986933575,5900.0,7850.0,8450.0,8950.0,11000.0,1649.0,0.0,8476.033959975743,905.1363479765279,6100.0,7950.0,8600.0,9050.0,11150.0,,,,,,,,,,
PP开工率,6-PP注塑制品周度开工率.xlsx,mma,2014-01-03,2021-07-15,392,17,392,91,weekly,7.0,392.0,0.0,55.119897959183675,7.464775239573046,10.0,51.0,57.0,60.0,67.0,392.0,0.0,55.119897959183675,7.464775239573046,10.0,51.0,57.0,60.0,67.0,392.0,0.0,55.119897959183675,7.464775239573046,10.0,51.0,57.0,60.0,67.0,,,,,,,,,,
PP石化库存,15-pp石化库存_每3个工作日更新.xlsx,single,2011-01-16,2021-07-15,2137,2,2137,127,daily_or_irregular,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,inventory,2137.0,0.0,75.13509592887225,15.24416667441206,45.0,64.0,72.5,84.0,160.0
PP进口量,5-PP进口量月度数据_滞后一月更新.xlsx,mma,2010-01-31,2021-05-31,137,17,137,137,monthly,31.0,137.0,0.0,298.9514598540146,58.58334361995433,180.93,261.63,289.0,319.97,576.4,137.0,0.0,298.9514598540146,58.58334361995433,180.93,261.63,289.0,319.97,576.4,137.0,0.0,298.9514598540146,58.58334361995433,180.93,261.63,289.0,319.97,576.4,,,,,,,,,,
