model,cv_n_splits,cv_test_size,cv_RMSE_mean,cv_RMSE_std
rf,3,6,342.1881474600409,122.75486132893654
bagging_tree,3,6,357.3188434216595,137.05802838667145
extra_trees,3,6,359.5937922095445,127.59041940851532
gbr,3,6,374.47306627913116,79.91500888559831
ada,3,6,434.01842877348275,207.1076986950774
ridge,3,6,500.88336578317035,209.9061928348846
bayes_ridge,3,6,554.8263188149045,269.3299136428025
elasticnet,3,6,696.4436133295757,313.59705410189076
svr_rbf,3,6,732.7808995611317,478.96534550598136
knn,3,6,734.8218084394981,389.7022216099882
huber,3,6,972.1455349129957,471.23507507356
lasso,3,6,1903.4439966265334,1187.710108966908
