model,MAE,RMSE,MAPE,Accuracy,Precision,Recall,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
ensemble_cv_weighted,192.898010170121,220.62330650131204,0.021938408881455262,0.8571428571428571,0.75,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
ensemble_median,201.81959570473813,222.76882772574862,0.02312567480826303,0.8571428571428571,0.75,1.0,0.42857142857142855,0.26666666666666666,0.3,0.2333333333333333
ada,216.73060089776533,231.4416736800358,0.02482982806165766,0.8571428571428571,0.75,1.0,0.5714285714285714,0.4166666666666667,0.5833333333333334,0.41904761904761906
rf,224.70873457881706,242.17730364570298,0.025873821569900778,0.8571428571428571,0.75,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
bagging_tree,223.74400130475416,244.40908655698655,0.02579518489997809,0.8571428571428571,0.75,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
ensemble_topk_mean,225.7203727380568,246.0867200756689,0.02601158296860989,0.7142857142857143,0.6,1.0,0.2857142857142857,0.3125,0.3125,0.2
ensemble_topk_cv_weighted,225.6372259079222,246.5611222412761,0.026005507234567533,0.7142857142857143,0.6,1.0,0.2857142857142857,0.3125,0.3125,0.2
extra_trees,206.64821622223255,252.874084423994,0.02360104748315692,0.8571428571428571,0.75,1.0,0.2857142857142857,0.26666666666666666,0.25,0.18
ensemble_trimmed_mean,222.38183745059425,256.12382296506433,0.025153084668358035,1.0,1.0,1.0,0.2857142857142857,0.2,0.1,0.13333333333333333
ensemble_mean,228.45863609505417,265.30378175494985,0.026121071110403175,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2,0.1,0.13333333333333333
gbr,305.12746091229775,337.75985473302416,0.035459661969757104,0.5714285714285714,0.5,1.0,0.2857142857142857,0.375,0.1875,0.225
svr_rbf,309.84830039406006,393.97082546774357,0.03480691505755672,0.7142857142857143,1.0,0.3333333333333333,0.42857142857142855,0.15,0.15,0.15
bayes_ridge,338.3287568148236,419.09662819934,0.038396079355603074,0.5714285714285714,0.5,0.3333333333333333,0.42857142857142855,0.25,0.375,0.29166666666666663
knn,391.5047952399278,510.9109289448542,0.043725875472300016,0.7142857142857143,1.0,0.3333333333333333,0.42857142857142855,0.1875,0.1875,0.1875
ridge,859.0326271358135,907.4558544097429,0.09843906842801252,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
lasso,806.2427289225525,981.1635287495134,0.09285485167781445,0.8571428571428571,1.0,0.6666666666666666,0.42857142857142855,0.5,0.3125,0.35
elasticnet,812.0072360329656,1023.5511180429013,0.09404695530365793,0.8571428571428571,1.0,0.6666666666666666,0.2857142857142857,0.5,0.1875,0.26666666666666666
huber,1166.5239587299984,1426.1412288660229,0.13294467754054753,0.5714285714285714,0.5,1.0,0.2857142857142857,0.1,0.25,0.14285714285714285
sarimax,1773.9009656977582,1822.104633749031,0.20220134866767214,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
