model,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
ensemble_proba_topk_cv_weighted,0.5714285714285714,0.75,0.75,0.6
rf_clf,0.5714285714285714,0.3666666666666667,0.5833333333333334,0.4444444444444444
gbr_clf,0.42857142857142855,0.3055555555555555,0.6666666666666666,0.4000000000000001
ensemble_proba_mean,0.42857142857142855,0.5833333333333334,0.4375,0.39166666666666666
bagging_tree_clf,0.42857142857142855,0.29166666666666663,0.25,0.26785714285714285
ada_clf,0.2857142857142857,0.5,0.1875,0.26666666666666666
knn_clf,0.5714285714285714,0.19047619047619047,0.3333333333333333,0.24242424242424243
extra_trees_clf,0.42857142857142855,0.1875,0.1875,0.1875
nb,0.14285714285714285,0.0625,0.25,0.1
logreg,0.0,0.0,0.0,0.0
svc_rbf,0.0,0.0,0.0,0.0
