model,cv_n_splits,cv_test_size,cv_RMSE_mean,cv_RMSE_std
extra_trees,3,6,351.161473671958,105.46555634808537
bagging_tree,3,6,400.9660840596288,131.3984351310099
rf,3,6,408.3339407892345,137.8605530088246
gbr,3,6,412.09908907152635,44.112306066299304
bayes_ridge,3,6,415.7840290899164,56.71304364737307
ada,3,6,464.52250148463713,203.20377140173792
elasticnet,3,6,597.9009972747461,213.39894925321036
ridge,3,6,600.3127365312963,66.99426620540312
huber,3,6,639.2233089809898,80.2980859815598
svr_rbf,3,6,728.4152491628128,481.3808838418141
knn,3,6,796.6658811654238,454.064515356092
lasso,3,6,1457.5960075363462,837.461373249793
