model,MAE,RMSE,MAPE,Accuracy,Precision,Recall,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
ensemble_cv_weighted,126.3289129371021,155.80846193604427,0.014586659909565643,1.0,1.0,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,0.7777777777777777
ensemble_trimmed_mean,137.38189711890897,175.3195718013744,0.015847647371979415,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ensemble_median,162.02217892452816,181.6536418059558,0.018630741218088793,1.0,1.0,1.0,0.7142857142857143,0.4444444444444444,0.6666666666666666,0.5
ensemble_topk_mean,158.53214182698215,189.36067124552912,0.018172286738591618,0.8571428571428571,0.75,1.0,0.5714285714285714,0.4166666666666667,0.5833333333333334,0.41904761904761906
ensemble_topk_cv_weighted,163.04817505242787,193.50327312707722,0.01868085548947893,0.8571428571428571,0.75,1.0,0.5714285714285714,0.3333333333333333,0.4375,0.3392857142857143
ensemble_mean,146.78528148388355,218.87137042141154,0.0169874802276835,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bayes_ridge,203.03789289494125,221.45164605718296,0.02338635254695686,1.0,1.0,1.0,0.5714285714285714,0.625,0.5,0.5
ada,189.46058870310713,225.19753398144485,0.02145553371023954,1.0,1.0,1.0,0.5714285714285714,0.3333333333333333,0.4375,0.3392857142857143
gbr,225.7106454893357,239.58994665411728,0.0260085735459151,0.8571428571428571,0.75,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
rf,230.81948790675233,243.11488607559036,0.02657125955258582,0.7142857142857143,0.6,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
bagging_tree,229.27980237344542,243.17503072443296,0.02637908939151256,0.7142857142857143,0.6,1.0,0.42857142857142855,0.3125,0.375,0.26666666666666666
extra_trees,202.8896262091587,261.0228623551622,0.023087896916056058,1.0,1.0,1.0,0.2857142857142857,0.3,0.25,0.21333333333333332
svr_rbf,308.20589236567423,392.6435377356805,0.034621863919362325,0.7142857142857143,1.0,0.3333333333333333,0.42857142857142855,0.15,0.15,0.15
knn,325.0404521156548,418.68441057517384,0.03652876014165813,0.7142857142857143,1.0,0.3333333333333333,0.42857142857142855,0.15,0.1875,0.16666666666666666
sarimax,479.2503728968559,599.5294881646752,0.053944597740461175,0.5714285714285714,0.5,0.3333333333333333,0.14285714285714285,0.1,0.05,0.06666666666666667
ridge,584.6793601072247,644.5806185236262,0.06719778337221075,1.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.25,0.2
huber,630.3406416478691,720.5245658682717,0.07244564900555324,1.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.25,0.2
lasso,665.6474481641669,952.888230366347,0.0765677341241062,0.7142857142857143,0.6,1.0,0.5714285714285714,0.5333333333333333,0.45,0.44000000000000006
elasticnet,1008.258393468505,1277.9959729850634,0.11464345823892266,0.42857142857142855,0.42857142857142855,1.0,0.2857142857142857,0.16666666666666666,0.25,0.2
