model,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
ada_clf,0.8571428571428571,0.9333333333333332,0.8333333333333334,0.8518518518518517
ensemble_proba_topk_cv_weighted,0.5714285714285714,0.3666666666666667,0.5833333333333334,0.4444444444444444
bagging_tree_clf,0.42857142857142855,0.5833333333333334,0.5833333333333334,0.43333333333333335
gbr_clf,0.42857142857142855,0.375,0.4375,0.375
knn_clf,0.5714285714285714,0.19047619047619047,0.3333333333333333,0.24242424242424243
svc_rbf,0.5714285714285714,0.19047619047619047,0.3333333333333333,0.24242424242424243
extra_trees_clf,0.42857142857142855,0.16666666666666666,0.25,0.19999999999999998
logreg,0.42857142857142855,0.1875,0.1875,0.1875
ensemble_proba_mean,0.2857142857142857,0.1,0.125,0.1111111111111111
rf_clf,0.14285714285714285,0.05555555555555555,0.3333333333333333,0.09523809523809523
nb,0.14285714285714285,0.08333333333333333,0.0625,0.07142857142857142
