model,cv_n_splits,cv_test_size,cv_RMSE_mean,cv_RMSE_std
ridge,3,2,274.71794539396944,124.6552808875854
lasso,3,2,285.32206570833506,117.00079919191889
bayes_ridge,3,2,285.67455407050056,133.8551712472158
huber,3,2,285.67455408068963,133.85517125954564
elasticnet,3,2,293.1964008040034,59.845147789965004
ada,3,2,307.9387647244884,209.02670494926826
gbr,3,2,310.965442138327,188.8940878796449
rf,3,2,337.5241142304805,192.00727351028908
extra_trees,3,2,369.4565469827691,82.86937610838115
bagging_tree,3,2,369.4667110961562,180.42860154449275
knn,3,2,417.83639348999105,139.68389271059377
svr_rbf,3,2,510.4573889652667,197.76070191633931
