model,MAE,RMSE,MAPE,Accuracy,Precision,Recall,Strength_Accuracy,Strength_Precision_macro,Strength_Recall_macro,Strength_F1_macro
lasso,463.8622529897558,536.1084187535673,0.053023237356794824,0.5714285714285714,0.5,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.5,0.35714285714285715
knn,773.9607762302932,835.7711883318037,0.0876467213564265,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ada,730.5912289192773,862.8727444414038,0.08224038063582871,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
bagging_tree,763.3922471754331,867.4204829813785,0.08609497910473608,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_topk_mean,711.4713952947934,890.4928735037753,0.0800646179705424,0.5714285714285714,0.0,0.0,0.14285714285714285,0.25,0.0625,0.1
ensemble_topk_cv_weighted,715.9834846745883,893.4350183534449,0.08058439267608757,0.5714285714285714,0.0,0.0,0.14285714285714285,0.25,0.0625,0.1
rf,792.4560708790661,895.0930859976704,0.08944012907947493,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_mean,783.7958292406462,901.5484776530647,0.08843948342522527,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_cv_weighted,771.8183109928312,903.4987700986385,0.08703020822540468,0.5714285714285714,0.0,0.0,0.14285714285714285,0.125,0.0625,0.08333333333333333
ensemble_trimmed_mean,835.218291634295,943.7689797764448,0.09434386237356403,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
ensemble_median,834.4980529936291,948.5337020261674,0.09417387016559133,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
svr_rbf,900.7108206687265,954.185291908447,0.10221425026241862,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
extra_trees,871.2276531558299,989.1602529607075,0.09830482819094119,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
huber,869.032363381855,1008.9166215534059,0.0982335050878005,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
bayes_ridge,869.0323634904246,1008.9166216466153,0.09823350510022241,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
elasticnet,866.6333760468672,1074.0052934029952,0.09760144190314832,0.5714285714285714,0.0,0.0,0.14285714285714285,0.25,0.0625,0.1
gbr,1015.8541773851575,1138.891256160472,0.11500942262016503,0.5714285714285714,0.0,0.0,0.14285714285714285,0.25,0.0625,0.1
sarimax,896.5133793503352,1197.12146514859,0.10133072863449603,0.7142857142857143,1.0,0.3333333333333333,0.2857142857142857,0.5,0.1875,0.26666666666666666
ridge,1113.729758507119,1234.8785196986378,0.12617724325976878,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
