model,cv_n_splits,cv_test_size,cv_RMSE_mean,cv_RMSE_std
lasso,3,2,285.65907479281276,179.89234010908763
ridge,3,2,286.51625843352247,199.95670868951342
bayes_ridge,3,2,288.187351940797,200.0252869476987
huber,3,2,288.18735194712525,200.02528694895423
ada,3,2,337.4067225744622,241.42260780262433
gbr,3,2,342.1402948943966,206.13222330126075
elasticnet,3,2,348.2071583983157,109.85659663752715
rf,3,2,379.52519779104296,195.11430629385256
extra_trees,3,2,383.9157706061876,131.15273801120216
bagging_tree,3,2,393.58583312125864,195.094588936421
knn,3,2,449.197789118431,162.40432925721413
svr_rbf,3,2,512.1694949342422,198.32518833736367
