group,group_coef_mag,group_weight,stage_id,is_topk
排产比例,0.5098043282272645,0.14654840041628178,1,True
塑编开工率,0.43199385564323317,0.12418099460692697,1,True
乙烯成本,0.402417135854017,0.11567886793855944,1,True
PP进口量,0.3606290480254367,0.10366646025848275,1,True
PP石化库存,0.3548960816603116,0.1020184612048637,1,True
CTO成本,0.35240201902928575,0.10130151772502739,1,True
PP开工率,0.3405057575551581,0.09788181727636806,1,False
PP产量,0.3364053458689905,0.09670311254519086,1,False
丙烯成本,0.24050761460522202,0.06913634164482538,1,False
BOPP开工率,0.1491825376463005,0.042884026383473654,1,False
排产比例,0.3694181624448705,0.12988282034796803,2,True
PP石化库存,0.3495312485392574,0.12289082935060139,2,True
丙烯成本,0.33177099116822467,0.11664654427758535,2,True
PP开工率,0.28792810435344657,0.10123193186650792,2,True
BOPP开工率,0.2829687205158033,0.09948827433825262,2,True
乙烯成本,0.2731113169892776,0.09602253415141428,2,True
塑编开工率,0.27237832337435414,0.09576482273470092,2,False
PP产量,0.24693343979591442,0.08681871889204906,2,False
CTO成本,0.23994422571689228,0.08436139835699119,2,False
PP进口量,0.19025738805166817,0.0668921256839292,2,False
MTO成本,0.0,0.0,2,False
乙烯成本,0.6220497162731684,0.15207249241731666,3,True
排产比例,0.5721318014566773,0.13986905992015353,3,True
PP石化库存,0.4801583849886601,0.1173843190505264,3,True
PP开工率,0.46917815414055797,0.11469998204545152,3,True
塑编开工率,0.4519917398587522,0.11049841939349939,3,True
MTO成本,0.35545608859072775,0.08689834899492922,3,True
丙烯成本,0.31188728668659105,0.07624708411389387,3,False
PP产量,0.23024281046191736,0.05628745923699714,3,False
BOPP开工率,0.2245727794631162,0.05490130677439802,3,False
CTO成本,0.20058382961023233,0.04903672827019361,3,False
PP进口量,0.17222890440077876,0.04210479978264066,3,False
GDP,0.0,0.0,3,False
PP开工率,0.8636502384039874,0.14198384281385829,4,True
排产比例,0.6581609350936733,0.10820146235037578,4,True
塑编开工率,0.6036609124519232,0.0992416748067309,4,True
检修损失,0.5872249739677036,0.0965396113990322,4,True
MTO成本,0.5532383322183212,0.09095221758457234,4,True
PP石化库存,0.5497027033981354,0.09037096125610644,4,True
乙烯成本,0.5162134361882447,0.08486533566829038,4,False
CTO成本,0.4969246650490714,0.08169426741899778,4,False
PP进口量,0.4203764856207203,0.0691097694447634,4,False
丙烯成本,0.36870218381133446,0.060614529567127026,4,False
BOPP开工率,0.2459568451785061,0.04043523233358059,4,False
PP产量,0.21892433300223332,0.03599109535656484,4,False
GDP,0.0,0.0,4,False
CTO成本,0.8083203787245443,0.13556957824330065,5,True
排产比例,0.7695185759151558,0.12906183183432252,5,True
PDH成本,0.5523544681944749,0.0926395823548149,5,True
乙烯成本,0.5345465832725753,0.08965288609945567,5,True
MTO成本,0.5287939845061177,0.08868807386769903,5,True
丙烯成本,0.5141866636140904,0.08623816862626316,5,True
PP石化库存,0.3606287536799361,0.060483799896200195,5,False
PP进口量,0.33649580324249584,0.056436278642643924,5,False
PP产量,0.33197670189993445,0.055678345675499764,5,False
BOPP开工率,0.3172239444814825,0.05320404816452879,5,False
PP开工率,0.29596218889988485,0.04963807690761507,5,False
塑编开工率,0.2618758641462562,0.043921199302716325,5,False
GDP,0.18519600071116385,0.031060634334587674,5,False
检修损失,0.16532248900473082,0.02772749605035229,5,False
MTO成本,0.5969383904432513,0.11614368163652163,6,True
PP石化库存,0.5809273665160907,0.11302848701100918,6,True
PP开工率,0.503254551008252,0.09791602833758381,6,True
PDH成本,0.48659201089140075,0.09467407106767134,6,True
PP进口量,0.4456490059857777,0.08670797037263941,6,True
丙烯成本,0.43410298696772825,0.08446151214768623,6,True
排产比例,0.41957474552122076,0.08163481599894507,6,False
PP产量,0.39949580167469223,0.07772814405583689,6,False
检修损失,0.37601647165721297,0.07315987390560573,6,False
塑编开工率,0.3675731604285546,0.07151709591209922,6,False
BOPP开工率,0.23174800507969534,0.04509019180671032,6,False
乙烯成本,0.18657717247891015,0.03630150124025737,6,False
CTO成本,0.1112047837642165,0.02163662650743392,6,False
GDP,6.851746884969226e-17,1.3331143072754794e-17,6,False
