feature,coef_mag,group,rank_in_group,stage_id
CTO成本__range,0.1654614200698842,CTO成本,1.0,1
CTO成本__last,0.056481210554792216,CTO成本,2.0,1
CTO成本__min,0.05555487125380609,CTO成本,3.0,1
CTO成本__mean,0.04435277011416362,CTO成本,4.0,1
CTO成本__max,0.03055174703663963,CTO成本,5.0,1
PP石化库存__last,0.11188532922750831,PP石化库存,1.0,1
PP石化库存__min,0.07706048338949709,PP石化库存,2.0,1
PP石化库存__mean,0.07259019487907327,PP石化库存,3.0,1
PP石化库存__max,0.0617163620545019,PP石化库存,4.0,1
PP石化库存__range,0.031643712109731076,PP石化库存,5.0,1
PP进口量__mean,0.09015726200635918,PP进口量,1.0,1
PP进口量__min,0.09015726200635918,PP进口量,2.0,1
PP进口量__max,0.09015726200635918,PP进口量,3.0,1
PP进口量__last,0.09015726200635918,PP进口量,4.0,1
PP进口量__range,0.0,PP进口量,5.0,1
乙烯成本__range,0.1313216705082208,乙烯成本,1.0,1
乙烯成本__last,0.11636437860585995,乙烯成本,2.0,1
乙烯成本__min,0.07449102717537345,乙烯成本,3.0,1
乙烯成本__max,0.047841302138549244,乙烯成本,4.0,1
乙烯成本__mean,0.03239875742601355,乙烯成本,5.0,1
塑编开工率__min,0.09859671320380547,塑编开工率,1.0,1
塑编开工率__mean,0.09703436863710105,塑编开工率,2.0,1
塑编开工率__range,0.08722054571390955,塑编开工率,3.0,1
塑编开工率__max,0.08383192415684505,塑编开工率,4.0,1
塑编开工率__last,0.06531030393157203,塑编开工率,5.0,1
排产比例__min,0.15802801372224834,排产比例,1.0,1
排产比例__range,0.123179522893374,排产比例,2.0,1
排产比例__max,0.10569828830945271,排产比例,3.0,1
排产比例__mean,0.06427064802054347,排产比例,4.0,1
排产比例__last,0.05862785528164602,排产比例,5.0,1
BOPP开工率__mean,0.07074218012895082,BOPP开工率,1.0,2
BOPP开工率__min,0.07074218012895082,BOPP开工率,2.0,2
BOPP开工率__max,0.07074218012895082,BOPP开工率,3.0,2
BOPP开工率__last,0.07074218012895082,BOPP开工率,4.0,2
BOPP开工率__range,0.0,BOPP开工率,5.0,2
PP开工率__min,0.07284784374980617,PP开工率,1.0,2
PP开工率__range,0.07160073498087285,PP开工率,2.0,2
PP开工率__last,0.060156945120289095,PP开工率,3.0,2
PP开工率__mean,0.05208676909729274,PP开工率,4.0,2
PP开工率__max,0.031235811405185703,PP开工率,5.0,2
PP石化库存__max,0.09743133475997434,PP石化库存,1.0,2
PP石化库存__mean,0.07321671585012991,PP石化库存,2.0,2
PP石化库存__range,0.06874139480013702,PP石化库存,3.0,2
PP石化库存__min,0.06291696621629257,PP石化库存,4.0,2
PP石化库存__last,0.047224836912723535,PP石化库存,5.0,2
丙烯成本__range,0.09579207236168569,丙烯成本,1.0,2
丙烯成本__last,0.09251169322854154,丙烯成本,2.0,2
丙烯成本__min,0.0916029845199368,丙烯成本,3.0,2
丙烯成本__mean,0.04028311531619851,丙烯成本,4.0,2
丙烯成本__max,0.011581125741862134,丙烯成本,5.0,2
乙烯成本__range,0.09665343816293293,乙烯成本,1.0,2
乙烯成本__min,0.053247423710642505,乙烯成本,2.0,2
乙烯成本__mean,0.04642248721112526,乙烯成本,3.0,2
乙烯成本__max,0.0460329711548535,乙烯成本,4.0,2
乙烯成本__last,0.0307549967497234,乙烯成本,5.0,2
排产比例__range,0.1097269241220591,排产比例,1.0,2
排产比例__min,0.09617021307030577,排产比例,2.0,2
排产比例__last,0.07806548285589902,排产比例,3.0,2
排产比例__max,0.04943614201211242,排产比例,4.0,2
排产比例__mean,0.036019400384494187,排产比例,5.0,2
MTO成本__range,0.10960581725876786,MTO成本,1.0,3
MTO成本__min,0.08433936228224752,MTO成本,2.0,3
MTO成本__mean,0.06225552216372152,MTO成本,3.0,3
MTO成本__last,0.057054796206199666,MTO成本,4.0,3
MTO成本__max,0.04220059067979117,MTO成本,5.0,3
PP开工率__range,0.12072230358044722,PP开工率,1.0,3
PP开工率__min,0.10184811805399945,PP开工率,2.0,3
PP开工率__mean,0.09616183204655986,PP开工率,3.0,3
PP开工率__max,0.07714943351524452,PP开工率,4.0,3
PP开工率__last,0.07329646694430696,PP开工率,5.0,3
PP石化库存__range,0.17701034833357507,PP石化库存,1.0,3
PP石化库存__mean,0.09391849607905751,PP石化库存,2.0,3
PP石化库存__min,0.07574949463792659,PP石化库存,3.0,3
PP石化库存__max,0.07539371107913626,PP石化库存,4.0,3
PP石化库存__last,0.058086334858964674,PP石化库存,5.0,3
乙烯成本__range,0.22565696265999668,乙烯成本,1.0,3
乙烯成本__min,0.11179508477546027,乙烯成本,2.0,3
乙烯成本__last,0.1051629592368902,乙烯成本,3.0,3
乙烯成本__mean,0.10231170536210916,乙烯成本,4.0,3
乙烯成本__max,0.07712300423871216,乙烯成本,5.0,3
塑编开工率__mean,0.09822041821339342,塑编开工率,1.0,3
塑编开工率__max,0.09118967229100346,塑编开工率,2.0,3
塑编开工率__range,0.08952227616697098,塑编开工率,3.0,3
塑编开工率__last,0.08786725739389073,塑编开工率,4.0,3
塑编开工率__min,0.08519211579349362,塑编开工率,5.0,3
排产比例__last,0.21946417109903305,排产比例,1.0,3
排产比例__min,0.12137007412427078,排产比例,2.0,3
排产比例__mean,0.10398383341592368,排产比例,3.0,3
排产比例__max,0.0913735746890829,排产比例,4.0,3
排产比例__range,0.035940148128366836,排产比例,5.0,3
MTO成本__range,0.24238779748415648,MTO成本,1.0,4
MTO成本__mean,0.08385423368655427,MTO成本,2.0,4
MTO成本__min,0.0823110679144908,MTO成本,3.0,4
MTO成本__max,0.07423406209920355,MTO成本,4.0,4
MTO成本__last,0.07045117103391607,MTO成本,5.0,4
PP开工率__max,0.2881869869526205,PP开工率,1.0,4
PP开工率__mean,0.2031001130438406,PP开工率,2.0,4
PP开工率__last,0.16099452667934955,PP开工率,3.0,4
PP开工率__min,0.11540737772899387,PP开工率,4.0,4
PP开工率__range,0.09596123399918285,PP开工率,5.0,4
PP石化库存__last,0.1680019162167626,PP石化库存,1.0,4
PP石化库存__min,0.13228525680120878,PP石化库存,2.0,4
PP石化库存__mean,0.12148403462540389,PP石化库存,3.0,4
PP石化库存__max,0.09230129346499574,PP石化库存,4.0,4
PP石化库存__range,0.03563020228976438,PP石化库存,5.0,4
塑编开工率__max,0.22507764521036946,塑编开工率,1.0,4
塑编开工率__range,0.16922895232723703,塑编开工率,2.0,4
塑编开工率__mean,0.10625571159430715,塑编开工率,3.0,4
塑编开工率__min,0.0800083094162672,塑编开工率,4.0,4
塑编开工率__last,0.02309029390374233,塑编开工率,5.0,4
排产比例__min,0.1692528256730582,排产比例,1.0,4
排产比例__mean,0.13635843746217974,排产比例,2.0,4
排产比例__last,0.12880069975365946,排产比例,3.0,4
