feature,coef_mag,group,rank_in_group,stage_id
CTO成本__mean_mom_1,0.07232727236667989,CTO成本,1.0,1
CTO成本__mean_mom_3,0.05409654366080414,CTO成本,2.0,1
CTO成本__range_over_mean,0.04854359132194308,CTO成本,3.0,1
CTO成本__range,0.04627165907125592,CTO成本,4.0,1
CTO成本__max_minus_min,0.04627165907125592,CTO成本,5.0,1
PP开工率__mean_roll_mean_3,0.03440905095387505,PP开工率,1.0,1
PP开工率__mean_mom_3,0.03215730179753312,PP开工率,2.0,1
PP开工率__mean_roll_mean_12,0.02669355209487861,PP开工率,3.0,1
PP开工率__last_minus_mean,0.02537173307348932,PP开工率,4.0,1
PP开工率__mean_roll_mean_6,0.025135043048133746,PP开工率,5.0,1
PP石化库存__mean_mom_1,0.03951076734083662,PP石化库存,1.0,1
PP石化库存__mean_roll_std_3,0.03649179209031708,PP石化库存,2.0,1
PP石化库存__mean_mom_3,0.03563782393182923,PP石化库存,3.0,1
PP石化库存__last,0.02884339036974486,PP石化库存,4.0,1
PP石化库存__min,0.027727734168182347,PP石化库存,5.0,1
PP进口量__mean_mom_3,0.061303150673324126,PP进口量,1.0,1
PP进口量__mean_mom_1,0.03893585355835757,PP进口量,2.0,1
PP进口量__mean,0.027580847236327765,PP进口量,3.0,1
PP进口量__min,0.027580847236327765,PP进口量,4.0,1
PP进口量__max,0.027580847236327765,PP进口量,5.0,1
乙烯成本__mean_roll_std_3,0.0646182251341121,乙烯成本,1.0,1
乙烯成本__mean_mom_3,0.050887733800185714,乙烯成本,2.0,1
乙烯成本__range,0.04998082318213489,乙烯成本,3.0,1
乙烯成本__max_minus_min,0.04998082318213489,乙烯成本,4.0,1
乙烯成本__range_over_mean,0.04959154445610528,乙烯成本,5.0,1
排产比例__mean_roll_std_3,0.04655410105010874,排产比例,1.0,1
排产比例__min,0.0431217456727897,排产比例,2.0,1
排产比例__range,0.038203576935885296,排产比例,3.0,1
排产比例__max_minus_min,0.038203576935885296,排产比例,4.0,1
排产比例__mean_mom_3,0.03720068570943727,排产比例,5.0,1
PP开工率__mean_roll_std_6,0.04517596763227196,PP开工率,1.0,2
PP开工率__mean_roll_std_12,0.03277254730274284,PP开工率,2.0,2
PP开工率__mean_roll_std_3,0.031574314886988634,PP开工率,3.0,2
PP开工率__range,0.024336869827943048,PP开工率,4.0,2
PP开工率__max_minus_min,0.024336869827943048,PP开工率,5.0,2
PP石化库存__mean_mom_1,0.038663847248130566,PP石化库存,1.0,2
PP石化库存__last_minus_mean,0.03561382836246387,PP石化库存,2.0,2
PP石化库存__max,0.03526042893547134,PP石化库存,3.0,2
PP石化库存__range,0.028086657730540778,PP石化库存,4.0,2
PP石化库存__max_minus_min,0.028086657730540778,PP石化库存,5.0,2
丙烯成本__mean_mom_1,0.04719971629634081,丙烯成本,1.0,2
丙烯成本__range_over_mean,0.03541335908876584,丙烯成本,2.0,2
丙烯成本__mean_roll_std_3,0.033678124133006734,丙烯成本,3.0,2
丙烯成本__range,0.033044985372015244,丙烯成本,4.0,2
丙烯成本__max_minus_min,0.033044985372015244,丙烯成本,5.0,2
乙烯成本__mean_roll_std_6,0.04618827828821679,乙烯成本,1.0,2
乙烯成本__mean_mom_1,0.03635910569976591,乙烯成本,2.0,2
乙烯成本__range,0.033118725493080904,乙烯成本,3.0,2
乙烯成本__max_minus_min,0.033118725493080904,乙烯成本,4.0,2
乙烯成本__range_over_mean,0.030957832008683978,乙烯成本,5.0,2
塑编开工率__mean_roll_std_6,0.05114951307476847,塑编开工率,1.0,2
塑编开工率__range_over_mean,0.03349451212822948,塑编开工率,2.0,2
塑编开工率__range,0.03324236482248164,塑编开工率,3.0,2
塑编开工率__max_minus_min,0.03324236482248164,塑编开工率,4.0,2
塑编开工率__min,0.023694896816569635,塑编开工率,5.0,2
排产比例__range,0.0344259153764726,排产比例,1.0,2
排产比例__max_minus_min,0.0344259153764726,排产比例,2.0,2
排产比例__min,0.03242920304523741,排产比例,3.0,2
排产比例__range_over_mean,0.03152650889649169,排产比例,4.0,2
排产比例__last,0.03057691823523474,排产比例,5.0,2
MTO成本__range_over_mean,0.05300592808333069,MTO成本,1.0,3
MTO成本__last_minus_mean,0.05094310846388789,MTO成本,2.0,3
MTO成本__mean_mom_1,0.038040608113900816,MTO成本,3.0,3
MTO成本__mean_mom_3,0.03685223865452959,MTO成本,4.0,3
MTO成本__range,0.03509552890304637,MTO成本,5.0,3
PP开工率__range,0.0478931740155185,PP开工率,1.0,3
PP开工率__max_minus_min,0.0478931740155185,PP开工率,2.0,3
PP开工率__range_over_mean,0.04587677703973119,PP开工率,3.0,3
PP开工率__last_minus_mean,0.03896853299336113,PP开工率,4.0,3
PP开工率__min,0.03825750562945713,PP开工率,5.0,3
PP石化库存__range,0.0612950400666535,PP石化库存,1.0,3
PP石化库存__max_minus_min,0.0612950400666535,PP石化库存,2.0,3
PP石化库存__last_minus_mean,0.056309126529906384,PP石化库存,3.0,3
PP石化库存__range_over_mean,0.04502488356461507,PP石化库存,4.0,3
PP石化库存__mean_mom_12,0.03229119037436237,PP石化库存,5.0,3
乙烯成本__range,0.054899425629237594,乙烯成本,1.0,3
乙烯成本__max_minus_min,0.054899425629237594,乙烯成本,2.0,3
乙烯成本__range_over_mean,0.05255172920834846,乙烯成本,3.0,3
乙烯成本__mean_roll_std_3,0.05001160951958061,乙烯成本,4.0,3
乙烯成本__mean_mom_3,0.044644405239654614,乙烯成本,5.0,3
塑编开工率__mean_roll_std_3,0.046264499092547574,塑编开工率,1.0,3
塑编开工率__mean_mom_3,0.04112692362649818,塑编开工率,2.0,3
塑编开工率__mean_roll_std_6,0.040296918495764736,塑编开工率,3.0,3
塑编开工率__last,0.03808467195132693,塑编开工率,4.0,3
塑编开工率__mean_roll_mean_3,0.037893061140563206,塑编开工率,5.0,3
排产比例__last,0.0789823525921528,排产比例,1.0,3
排产比例__last_minus_mean,0.07818789215575248,排产比例,2.0,3
排产比例__mean_mom_1,0.04536307032367476,排产比例,3.0,3
排产比例__mean_mom_12,0.042880710794639426,排产比例,4.0,3
排产比例__mean_mom_3,0.03749141742675356,排产比例,5.0,3
CTO成本__mean_roll_std_3,0.06772844910451467,CTO成本,1.0,4
CTO成本__mean_roll_std_6,0.06575872542961607,CTO成本,2.0,4
CTO成本__mean_mom_1,0.061845494355691435,CTO成本,3.0,4
CTO成本__mean_roll_mean_6,0.04737326345215499,CTO成本,4.0,4
CTO成本__mean_roll_mean_3,0.045825061194439104,CTO成本,5.0,4
MTO成本__mean_mom_12,0.09588798795648246,MTO成本,1.0,4
MTO成本__mean_mom_1,0.08010212167190223,MTO成本,2.0,4
MTO成本__range_over_mean,0.07949555332489747,MTO成本,3.0,4
