group,group_coef_mag,group_weight,stage_id,is_topk
排产比例,0.5098043282272645,0.14654840041628178,1,True
塑编开工率,0.43199385564323317,0.12418099460692697,1,True
乙烯成本,0.402417135854017,0.11567886793855944,1,True
PP进口量,0.3606290480254367,0.10366646025848275,1,True
PP石化库存,0.3548960816603116,0.1020184612048637,1,True
CTO成本,0.35240201902928575,0.10130151772502739,1,True
PP开工率,0.3405057575551581,0.09788181727636806,1,False
PP产量,0.3364053458689905,0.09670311254519086,1,False
丙烯成本,0.24050761460522202,0.06913634164482538,1,False
BOPP开工率,0.1491825376463005,0.042884026383473654,1,False
排产比例,0.3694181624448705,0.12988282034796803,2,True
PP石化库存,0.3495312485392574,0.12289082935060139,2,True
丙烯成本,0.33177099116822467,0.11664654427758535,2,True
PP开工率,0.28792810435344657,0.10123193186650792,2,True
BOPP开工率,0.2829687205158033,0.09948827433825262,2,True
乙烯成本,0.2731113169892776,0.09602253415141428,2,True
塑编开工率,0.27237832337435414,0.09576482273470092,2,False
PP产量,0.24693343979591442,0.08681871889204906,2,False
CTO成本,0.23994422571689228,0.08436139835699119,2,False
PP进口量,0.19025738805166817,0.0668921256839292,2,False
MTO成本,0.0,0.0,2,False
乙烯成本,0.6106489623222783,0.14652720624015017,3,True
排产比例,0.5904197010183426,0.14167312914175448,3,True
PP开工率,0.5010105635852762,0.1202191155779114,3,True
塑编开工率,0.47757960227029284,0.11459678013997188,3,True
PP石化库存,0.47432362317519894,0.11381549735752663,3,True
MTO成本,0.352676601376883,0.08462589850230955,3,True
丙烯成本,0.3184424499549483,0.07641130243261054,3,False
PP产量,0.22323340164865701,0.053565581375376224,3,False
BOPP开工率,0.22009611139332277,0.05281277836637682,3,False
PP进口量,0.2122471981755262,0.050929406090672945,3,False
CTO成本,0.18680015303135034,0.044823304775339495,3,False
GDP,0.0,0.0,3,False
PP开工率,0.8581522528101297,0.1356771764105642,4,True
排产比例,0.6746282326786985,0.1066613219705044,4,True
塑编开工率,0.6172667152978222,0.09759224514016628,4,True
检修损失,0.6060060854421505,0.09581189618877797,4,True
PP石化库存,0.5576225285388954,0.08816226948927672,4,True
MTO成本,0.5352529416490307,0.08462555164375574,4,True
CTO成本,0.5193775882451334,0.08211559712542017,4,False
乙烯成本,0.5080388421752058,0.08032289769968723,4,False
PP进口量,0.4327346003284859,0.06841700702347667,4,False
丙烯成本,0.37984314359087296,0.06005466399763065,4,False
BOPP开工率,0.26246844269796354,0.04149727170851669,4,False
PP产量,0.21265331627464484,0.03362130835409014,4,False
GDP,0.16091191323953832,0.025440793248133198,4,False
排产比例,0.7271890200328913,0.1256985572808288,5,True
CTO成本,0.7025080312458896,0.12143231480834192,5,True
乙烯成本,0.561754730629351,0.09710234511323645,5,True
MTO成本,0.5101613489067447,0.0881841498859799,5,True
PDH成本,0.49895518430559493,0.08624710369274625,5,True
丙烯成本,0.4504403061104939,0.07786104445947634,5,True
PP石化库存,0.34668610184369936,0.059926568788258694,5,False
GDP,0.30499370200483084,0.05271981185856221,5,False
PP进口量,0.2715370289250785,0.046936644866641744,5,False
PP开工率,0.26799216884234567,0.046323896618405316,5,False
塑编开工率,0.2635921113484785,0.045563322869771446,5,False
PP产量,0.24785321723150824,0.04284276985095744,5,False
BOPP开工率,0.23652958772517843,0.040885419213204544,5,False
期货价格,0.23343969809418716,0.040351315069614715,5,False
检修损失,0.1615496754486021,0.02792473562397426,5,False
MTO成本,0.5956641289640304,0.1065126702384909,6,True
PP石化库存,0.5831142984659914,0.10426859359799992,6,True
PP开工率,0.529748414010891,0.09472606354362635,6,True
期货价格,0.46130283398187333,0.08248708331899504,6,True
PDH成本,0.42881352832528974,0.07667756327001088,6,True
PP进口量,0.4255369664893597,0.0760916704264156,6,True
排产比例,0.41947072727564993,0.07500694615725167,6,False
检修损失,0.40634686790953456,0.07266022551897772,6,False
PP产量,0.3995052427081432,0.07143685192043901,6,False
丙烯成本,0.3917430201188502,0.0700488632624531,6,False
塑编开工率,0.36534078342897336,0.06532779211956202,6,False
BOPP开工率,0.20588611605005822,0.03681517640429838,6,False
乙烯成本,0.1298603614186301,0.023220760123477294,6,False
CTO成本,0.12622903348642728,0.022571430382498554,6,False
GDP,0.12386276285413554,0.022148309715503457,6,False
