feature,coef,abs_coef,group,rank_in_group,stage_id
CTO成本__mean_roll_std_3,9.027894061739806,9.027894061739806,CTO成本,1.0,1
CTO成本__mean_roll_mean_3,6.747041465591277,6.747041465591277,CTO成本,2.0,1
CTO成本__mean_mom_3,-6.745300245353743,6.745300245353743,CTO成本,3.0,1
CTO成本__mean_roll_mean_12,6.655312729731789,6.655312729731789,CTO成本,4.0,1
CTO成本__mean_roll_mean_6,6.262360853361057,6.262360853361057,CTO成本,5.0,1
PP产量__mean_mom_3,-9.015013501720619,9.015013501720619,PP产量,1.0,1
PP产量__mean_roll_std_3,-7.441162435711561,7.441162435711561,PP产量,2.0,1
PP产量__mean_roll_std_12,-6.63071261393513,6.63071261393513,PP产量,3.0,1
PP产量__mean_roll_std_6,-6.571083170325494,6.571083170325494,PP产量,4.0,1
PP产量__mean_roll_mean_3,-5.869191686329639,5.869191686329639,PP产量,5.0,1
PP石化库存__mean_roll_std_3,7.607928047335214,7.607928047335214,PP石化库存,1.0,1
PP石化库存__mean_roll_mean_6,6.747936360686988,6.747936360686988,PP石化库存,2.0,1
PP石化库存__mean,6.482464181514835,6.482464181514835,PP石化库存,3.0,1
PP石化库存__mean_mom_3,6.027126201341341,6.027126201341341,PP石化库存,4.0,1
PP石化库存__mean_roll_mean_3,5.546374955743053,5.546374955743053,PP石化库存,5.0,1
丙烯成本__mean_mom_3,7.570728009269235,7.570728009269235,丙烯成本,1.0,1
丙烯成本__max,6.0542869244689115,6.0542869244689115,丙烯成本,2.0,1
丙烯成本__mean,5.764992397794274,5.764992397794274,丙烯成本,3.0,1
丙烯成本__mean_mom_1,4.742323258408922,4.742323258408922,丙烯成本,4.0,1
丙烯成本__min,4.591656125001915,4.591656125001915,丙烯成本,5.0,1
乙烯成本__mean_roll_std_12,-5.584037149991777,5.584037149991777,乙烯成本,1.0,1
乙烯成本__last,4.6905041028478776,4.6905041028478776,乙烯成本,2.0,1
乙烯成本__mean_mom_3,4.674736362620243,4.674736362620243,乙烯成本,3.0,1
乙烯成本__mean_roll_mean_6,-4.504638767376205,4.504638767376205,乙烯成本,4.0,1
乙烯成本__last_minus_mean,4.318983444088536,4.318983444088536,乙烯成本,5.0,1
